analysis_role,delta_Q,delta_R,safety_floor,probability_threshold,construction,matched_pairs,matched_workers,eligible_edges,pairs_json,status
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.005,0.05,0.9,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.005,0.1,0.5,1_to_1_maximum_matching,9,18,74,"[[""1"", ""33""], [""10"", ""28""], [""11"", ""29""], [""12"", ""6""], [""13"", ""34""], [""15"", ""37""], [""17"", ""31""], [""18"", ""27""], [""30"", ""35""]]",estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.005,0.1,0.5,1_to_m_or_pool,,22,74,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.005,0.1,0.75,1_to_1_maximum_matching,3,6,10,"[[""1"", ""18""], [""12"", ""13""], [""17"", ""30""]]",estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.005,0.1,0.75,1_to_m_or_pool,,8,10,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.005,0.1,0.9,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.005,0.1,0.9,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.05,0.5,1_to_1_maximum_matching,1,2,3,"[[""12"", ""17""]]",estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.05,0.5,1_to_m_or_pool,,4,3,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.05,0.75,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.05,0.75,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.05,0.9,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.05,0.9,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.1,0.5,1_to_1_maximum_matching,1,2,4,"[[""12"", ""17""]]",estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.1,0.5,1_to_m_or_pool,,5,4,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.1,0.75,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.1,0.75,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.1,0.9,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.01,0.1,0.9,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.05,0.5,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.05,0.5,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.05,0.75,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.05,0.75,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.05,0.9,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.05,0.9,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.1,0.5,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.1,0.5,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.1,0.75,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.1,0.75,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.1,0.9,1_to_1_maximum_matching,0,0,0,[],estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,0.06,0.02,0.1,0.9,1_to_m_or_pool,,0,0,,graph_reported_no_unique_counterfactual_matched_set
