split,criterion,threshold,image_id,metric_value,topology_mismatch,pair_count_delta,image_path,model_path,gt_path
test,layout_mask_difference_ge_or_topology_mismatch,0.05,rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598,0.59437188,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,0.49786439,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,0.44667955,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,0.42597407,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b,0.40664767,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_5fc8f0e230eb49eca81fdfb0398d824b.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,0.38835169,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,0.35858202,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8,0.35132937,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_f701cece31304e16a3faa7f225bfdaa8.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6,0.3443251,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,0.34381954,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_8a830452b3b449d08625f3d70bdd07b8,0.33712611,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_8a830452b3b449d08625f3d70bdd07b8.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_8a830452b3b449d08625f3d70bdd07b8.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec,0.33016759,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,0.33014864,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_d19d2ae4bddf4445a3c623edc0346937,0.32875425,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_d19d2ae4bddf4445a3c623edc0346937.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_d19d2ae4bddf4445a3c623edc0346937.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35,0.31058542,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf,0.30961024,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_bac003e7f0294457905fb183c34ef2bf.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_28cd285e6d5545dda080d949bb00f1c0,0.28714153,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_28cd285e6d5545dda080d949bb00f1c0.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_28cd285e6d5545dda080d949bb00f1c0.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd,0.28402289,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,q9vSo1VnCiC_e58ef65f48d045e88b119261b96996c9,0.27357327,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/q9vSo1VnCiC_e58ef65f48d045e88b119261b96996c9.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_e58ef65f48d045e88b119261b96996c9.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,0.27208584,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,0.2710269,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2,0.26946363,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,0.26675561,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,yqstnuAEVhm_858240c249474a24b753d21b85056f23,0.26643137,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_858240c249474a24b753d21b85056f23.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/yqstnuAEVhm_858240c249474a24b753d21b85056f23.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,wc2JMjhGNzB_36f4749077674307bce31998171e96ef,0.26042813,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_36f4749077674307bce31998171e96ef.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_36f4749077674307bce31998171e96ef.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,0.2558636,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4,0.2481997,True,-10,D:/Work/HOHONET/data/mp3d_layout/test/img/q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,0.24657336,True,-4,D:/Work/HOHONET/data/mp3d_layout/test/img/q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,0.2459853,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_4d422e01951e4c4a9fa3c2d10666a004,0.24023042,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_4d422e01951e4c4a9fa3c2d10666a004.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_4d422e01951e4c4a9fa3c2d10666a004.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,0.2401689,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,0.23962496,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,0.23533112,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,0.23486766,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,0.23222693,True,6,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,0.22988665,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,0.22884028,True,6,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_05285f9bc0234526bf0f6362679e38d0,0.22735547,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_05285f9bc0234526bf0f6362679e38d0.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_05285f9bc0234526bf0f6362679e38d0.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,0.22663172,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,0.22435264,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_b98c9460586e4f138658181461df9f51,0.22308196,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_b98c9460586e4f138658181461df9f51.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_b98c9460586e4f138658181461df9f51.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,wc2JMjhGNzB_4af5e796d4d348bc9129c41d5b0556cd,0.21944533,True,-4,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_4af5e796d4d348bc9129c41d5b0556cd.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_4af5e796d4d348bc9129c41d5b0556cd.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341,0.21769248,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_4e537870fc094609a7eda53d1e313fa8,0.21272011,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_4e537870fc094609a7eda53d1e313fa8.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_4e537870fc094609a7eda53d1e313fa8.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,0.21117336,True,4,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,wc2JMjhGNzB_e9899e516c784fe3b8e78354ba4d49c4,0.20894121,True,2,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_e9899e516c784fe3b8e78354ba4d49c4.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_e9899e516c784fe3b8e78354ba4d49c4.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,0.20167134,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/yqstnuAEVhm_e3face7b2196414d95ed97151aa13058.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73,0.19884465,True,-4,D:/Work/HOHONET/data/mp3d_layout/test/img/b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,0.19814311,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b,0.19594198,True,-4,D:/Work/HOHONET/data/mp3d_layout/test/img/e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,0.19463693,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,UwV83HsGsw3_6faf5c6575694e52882985ae8538f498,0.19278537,False,0,D:/Work/HOHONET/data/mp3d_layout/test/img/UwV83HsGsw3_6faf5c6575694e52882985ae8538f498.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/UwV83HsGsw3_6faf5c6575694e52882985ae8538f498.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98,0.19132027,True,-4,D:/Work/HOHONET/data/mp3d_layout/test/img/uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,0.19010129,True,-6,D:/Work/HOHONET/data/mp3d_layout/test/img/e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,0.18960985,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,kEZ7cmS4wCh_3c4a8eb4ef504942b6df1937932aa3f2,0.18700726,True,-4,D:/Work/HOHONET/data/mp3d_layout/test/img/kEZ7cmS4wCh_3c4a8eb4ef504942b6df1937932aa3f2.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/kEZ7cmS4wCh_3c4a8eb4ef504942b6df1937932aa3f2.txt,D:/Work/HOHONET/export_label/groudTruth.json
test,layout_mask_difference_ge_or_topology_mismatch,0.05,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,0.18693913,True,-2,D:/Work/HOHONET/data/mp3d_layout/test/img/q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20.txt,D:/Work/HOHONET/export_label/groudTruth.json
