population,population_zh,inference_role,threshold,metric,estimand,primary_metric,inference_unit,n_tasks,n_buildings,mean_difference,ci_lower,ci_upper,building_exact_sign_flip_p,task_exact_sign_flip_p_sensitivity,holm_adjusted_p_within_threshold
formal_primary,原始码：formal_primary,protocol_reference_only,0.93,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0328664399047962,-0.148521028532978,0.2134138692033774,0.78125,0.8003501892089844,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.93,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0208333333333333,-0.0857142857142857,0.1239583333333333,0.734375,0.7943534851074219,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.93,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0068181818181818,-0.1055555555555555,0.0857142857142857,0.953125,0.9446487426757812,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.93,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0363636363636363,-0.11,0.0,0.5,0.5,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.93,mode_count,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0727272727272727,-0.3,0.4762301587301582,0.796875,0.8024711608886719,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.93,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0022943735570494,-0.0052815628411984,1.7051297991829432e-06,0.109375,0.1738052368164062,0.765625
formal_primary,原始码：formal_primary,protocol_reference_only,0.93,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0027934835267229,-0.0079486669559756,0.0034968477055489,0.39453125,0.4762134552001953,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.95,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0328664399047962,-0.1530227686944383,0.2170894211674398,0.78125,0.8003501892089844,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.95,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0208333333333333,-0.0875,0.1238121118012422,0.734375,0.7943534851074219,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.95,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0068181818181818,-0.1026583820662767,0.0861217948717947,0.953125,0.9446487426757812,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.95,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0363636363636363,-0.1077083333333333,0.0,0.5,0.5,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.95,mode_count,semi_minus_manual_task_equal,False,building_cluster,22,9,0.0727272727272727,-0.296,0.4692391304347825,0.796875,0.8024711608886719,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.95,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0022943735570494,-0.0052265878432036,3.59682712866394e-06,0.109375,0.1738052368164062,0.765625
formal_primary,原始码：formal_primary,protocol_reference_only,0.95,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0027934835267229,-0.0079290538532596,0.0037367973270408,0.39453125,0.4762134552001953,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.97,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0059859448783788,-0.1669669540765727,0.1895723272659055,0.953125,0.9642562866210938,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.97,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0031746031746031,-0.0953125,0.1048341557017542,0.9765625,0.973468780517578,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.97,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,21,9,0.0119047619047618,-0.0900119047619047,0.0954545454545454,0.890625,0.8883438110351562,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.97,supported_multimodality,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0380952380952381,-0.1111111111111111,0.0,0.5,0.5,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.97,mode_count,semi_minus_manual_task_equal,False,building_cluster,21,9,-2.1147105230955358e-17,-0.3428571428571428,0.4285714285714285,1.0,1.0,1.0
formal_primary,原始码：formal_primary,protocol_reference_only,0.97,pairwise_correspondence_disagreement,semi_minus_manual_task_equal,False,building_cluster,21,9,-0.0022943735570494,-0.0052771615260798,3.464049094942042e-05,0.109375,0.1738052368164062,0.765625
formal_primary,原始码：formal_primary,protocol_reference_only,0.97,pairwise_metric_dissimilarity_all,semi_minus_manual_task_equal,False,building_cluster,22,9,-0.0027934835267229,-0.0079487896103774,0.0037389910293738,0.39453125,0.4762134552001953,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.93,shannon_entropy,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0212300929631695,-0.1580340914984137,0.1842670315124548,0.8671875,0.8579001426696777,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.93,gini_simpson,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0193333333333333,-0.0861111111111111,0.11,0.7421875,0.788541316986084,1.0
formal_plus_oos_tasks,原始码：formal_plus_oos_tasks,scope_sensitivity,0.93,largest_mode_share,semi_minus_manual_task_equal,False,building_cluster,25,9,0.0039999999999999,-0.0833482142857142,0.0960038461538461,0.9609375,0.9732789993286132,1.0
