worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,cohort,metric,k,heldout_building
32,-0.1618757935468731,usable,0,-0.5326265547054658,1,87,87,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
33,-1.2391117640637832,usable,0,-0.5326265547054658,1,86,86,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
34,1.5814528607179128,usable,0,-0.5326265547054658,1,99,99,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
35,0.39398352972924294,usable,0,-0.5326265547054658,1,79,79,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
36,-0.5892611654280603,usable,0,-0.5326265547054658,1,85,85,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
37,2.080384880869584,usable,0,-0.5326265547054658,1,83,83,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
6,-0.41094378331727394,usable,0,-0.5326265547054658,1,83,83,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
8,-0.8947485745972551,usable,0,-0.5326265547054658,1,78,78,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,2,2t7WUuJeko7
1,-0.15469556702041543,usable,0,0.02454592518417212,2,85,85,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
10,-0.37649127173346736,usable,0,0.02454592518417212,2,83,83,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
11,-0.170433963507636,usable,0,0.02454592518417212,2,83,83,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
12,0.20986466200242979,usable,0,0.02454592518417212,2,78,78,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
13,-0.24745590213876603,usable,0,0.02454592518417212,2,81,81,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
14,-0.6005264221760702,usable,0,0.02454592518417212,2,74,74,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
15,-1.2946930980808407,usable,0,-1.8857597201517293,1,82,82,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
17,-1.4849957237764055,usable,0,-1.8857597201517293,1,82,82,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
18,-2.0401754524719866,usable,0,-1.8857597201517293,1,74,74,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
19,7.6006981631336785,usable,0,6.391518656465589,3,45,45,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
2,-3.366527011744188,usable,0,-1.8857597201517293,1,78,78,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
21,-0.6654823312698119,usable,0,0.02454592518417212,2,45,45,"[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,ospa30,3,2t7WUuJeko7
