base_task_id,semi_review_row_count,initial_quality_mean,initial_quality_median,edit_rate,edit_rmse_mean,delta_u_mean,harmful_rate_001,improving_rate_001,issue_report_rate
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,4,1.0,1.0,0.25,2.3832298038466866,-0.025613918986141876,0.75,0.0,1.0
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,4,1.0,1.0,0.5,3.2471540805680994,-0.06318923237450948,0.25,0.0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,4,1.0,1.0,0.5,8.372072422714815,-0.04427732490219767,0.75,0.0,0.25
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,4,1.0,1.0,0.0,0.0,-0.08412782816641932,0.75,0.0,0.75
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,4,,,0.0,,,0.0,0.0,0.75
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,4,1.0,1.0,0.25,5.198155501490484,-0.11254846814318767,1.0,0.0,0.5
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,4,1.0,1.0,0.25,1.4122071291696163,-0.0470549992912244,0.5,0.0,0.75
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,4,1.0,1.0,0.25,0.3379084411510539,-0.000421433703642275,0.0,0.0,0.0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,5,1.0,1.0,0.4,3.516633162736799,-0.03070551436108926,0.4,0.0,0.0
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,4,0.965819257586173,0.965819257586173,0.0,,-0.08898188992130197,0.75,0.0,0.75
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,4,1.0,1.0,0.0,,-0.08845580070563028,1.0,0.0,1.0
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,5,,,0.4,29.11971434736053,,0.0,0.0,0.8
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,4,,,0.5,6.071290025802473,,0.0,0.0,0.5
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,4,1.0,1.0,0.0,0.0,-0.0117908040620094,0.25,0.0,0.0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,5,1.0,1.0,0.2,5.398480604250853,-0.03026912693768726,1.0,0.0,0.6
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,4,1.0,1.0,1.0,23.23696106180495,-0.09031637655419791,0.75,0.0,0.75
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,5,1.0,1.0,0.4,6.062121420492346,-0.053101061051640475,0.6,0.0,0.4
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,4,,,0.0,,,0.0,0.0,0.75
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,4,1.0,1.0,0.5,2.6694656608590708,-0.025919731628800777,0.5,0.0,0.25
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,5,1.0,1.0,0.4,3.4590571853459338,-0.008607948200911325,0.2,0.0,0.4
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,4,1.0,1.0,0.0,0.0,-0.05436082401591018,0.75,0.0,0.5
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,4,1.0,1.0,0.25,4.782003106537834,-0.01860142511418275,0.25,0.0,0.0
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,5,1.0,1.0,0.4,1.4095627616931887,-0.03555666584970006,0.2,0.0,0.6
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,4,1.0,1.0,0.25,2.780906484585032,-0.0176880466472303,0.25,0.0,0.25
