cohort,metric,k,method,worker_id,same_as_full_fraction,folds,distinct_labels,min_label,max_label
current20,ospa30,3,quantile,30,1.0,22,1,3,3
current20,ospa30,3,quantile,31,0.5454545454545454,22,2,2,3
current20,ospa30,3,quantile,32,0.8181818181818182,22,2,2,3
current20,ospa30,3,quantile,33,1.0,22,1,1,1
current20,ospa30,3,quantile,34,1.0,22,1,3,3
current20,ospa30,3,quantile,35,1.0,22,1,3,3
current20,ospa30,3,quantile,36,0.8636363636363636,22,2,1,2
current20,ospa30,3,quantile,37,1.0,22,1,3,3
current20,ospa30,3,quantile,6,0.9090909090909091,22,2,1,2
current20,ospa30,3,quantile,8,1.0,22,1,1,1
current20,ospa30,3,ward,1,0.9545454545454546,22,2,2,3
current20,ospa30,3,ward,10,1.0,22,1,2,2
current20,ospa30,3,ward,11,0.9545454545454546,22,2,2,3
current20,ospa30,3,ward,12,0.9545454545454546,22,2,2,3
current20,ospa30,3,ward,13,1.0,22,1,2,2
current20,ospa30,3,ward,15,0.9545454545454546,22,2,1,2
current20,ospa30,3,ward,17,0.9545454545454546,22,2,1,2
current20,ospa30,3,ward,2,1.0,22,1,1,1
current20,ospa30,3,ward,28,0.9545454545454546,22,2,1,2
current20,ospa30,3,ward,29,0.9545454545454546,22,2,2,3
current20,ospa30,3,ward,30,0.9545454545454546,22,2,2,3
current20,ospa30,3,ward,31,1.0,22,1,2,2
current20,ospa30,3,ward,32,0.9545454545454546,22,2,2,3
current20,ospa30,3,ward,33,0.9545454545454546,22,2,1,2
current20,ospa30,3,ward,34,1.0,22,1,3,3
current20,ospa30,3,ward,35,0.9545454545454546,22,2,2,3
current20,ospa30,3,ward,36,0.9545454545454546,22,2,1,2
current20,ospa30,3,ward,37,1.0,22,1,3,3
current20,ospa30,3,ward,6,1.0,22,1,2,2
current20,ospa30,3,ward,8,0.6363636363636364,22,2,1,2
current20,ospa30,4,quantile,1,0.9090909090909091,22,2,2,3
current20,ospa30,4,quantile,10,0.8181818181818182,22,2,2,3
current20,ospa30,4,quantile,11,0.6363636363636364,22,2,2,3
current20,ospa30,4,quantile,12,0.7272727272727273,22,2,3,4
current20,ospa30,4,quantile,13,0.5909090909090909,22,2,2,3
current20,ospa30,4,quantile,15,1.0,22,1,1,1
current20,ospa30,4,quantile,17,1.0,22,1,1,1
current20,ospa30,4,quantile,2,1.0,22,1,1,1
current20,ospa30,4,quantile,28,1.0,22,1,1,1
current20,ospa30,4,quantile,29,0.9545454545454546,22,2,3,4
current20,ospa30,4,quantile,30,0.6818181818181818,22,2,3,4
current20,ospa30,4,quantile,31,1.0,22,1,3,3
current20,ospa30,4,quantile,32,0.8636363636363636,22,2,2,3
current20,ospa30,4,quantile,33,0.9545454545454546,22,2,1,2
current20,ospa30,4,quantile,34,1.0,22,1,4,4
current20,ospa30,4,quantile,35,1.0,22,1,4,4
current20,ospa30,4,quantile,36,1.0,22,1,2,2
current20,ospa30,4,quantile,37,1.0,22,1,4,4
current20,ospa30,4,quantile,6,1.0,22,1,2,2
current20,ospa30,4,quantile,8,0.9545454545454546,22,2,1,2
current20,ospa30,4,ward,1,1.0,22,1,3,3
current20,ospa30,4,ward,10,0.9545454545454546,22,2,2,3
current20,ospa30,4,ward,11,1.0,22,1,3,3
current20,ospa30,4,ward,12,1.0,22,1,3,3
current20,ospa30,4,ward,13,0.9545454545454546,22,2,2,3
current20,ospa30,4,ward,15,1.0,22,1,2,2
current20,ospa30,4,ward,17,1.0,22,1,2,2
current20,ospa30,4,ward,2,1.0,22,1,1,1
current20,ospa30,4,ward,28,1.0,22,1,2,2
current20,ospa30,4,ward,29,1.0,22,1,3,3
current20,ospa30,4,ward,30,1.0,22,1,3,3
current20,ospa30,4,ward,31,0.9545454545454546,22,2,2,3
current20,ospa30,4,ward,32,1.0,22,1,3,3
current20,ospa30,4,ward,33,1.0,22,1,2,2
current20,ospa30,4,ward,34,1.0,22,1,4,4
current20,ospa30,4,ward,35,1.0,22,1,3,3
current20,ospa30,4,ward,36,0.9090909090909091,22,2,2,3
current20,ospa30,4,ward,37,1.0,22,1,4,4
current20,ospa30,4,ward,6,0.9545454545454546,22,2,2,3
current20,ospa30,4,ward,8,0.6818181818181818,22,2,2,3
current20,ospa30,5,quantile,1,0.5909090909090909,22,2,3,4
current20,ospa30,5,quantile,10,0.7727272727272727,22,3,2,4
current20,ospa30,5,quantile,11,0.8181818181818182,22,2,3,4
current20,ospa30,5,quantile,12,0.8636363636363636,22,3,3,5
current20,ospa30,5,quantile,13,0.8636363636363636,22,3,2,4
current20,ospa30,5,quantile,15,0.6363636363636364,22,2,1,2
current20,ospa30,5,quantile,17,1.0,22,1,1,1
current20,ospa30,5,quantile,2,1.0,22,1,1,1
current20,ospa30,5,quantile,28,0.9545454545454546,22,2,1,2
current20,ospa30,5,quantile,29,0.8636363636363636,22,2,4,5
current20,ospa30,5,quantile,30,0.9090909090909091,22,2,4,5
current20,ospa30,5,quantile,31,0.7727272727272727,22,2,3,4
current20,ospa30,5,quantile,32,0.6363636363636364,22,2,3,4
current20,ospa30,5,quantile,33,0.5909090909090909,22,2,1,2
current20,ospa30,5,quantile,34,1.0,22,1,5,5
current20,ospa30,5,quantile,35,0.9545454545454546,22,2,4,5
current20,ospa30,5,quantile,36,0.9545454545454546,22,2,2,3
current20,ospa30,5,quantile,37,1.0,22,1,5,5
current20,ospa30,5,quantile,6,0.8181818181818182,22,2,2,3
current20,ospa30,5,quantile,8,1.0,22,1,2,2
current20,ospa30,5,ward,1,0.8181818181818182,22,2,3,4
current20,ospa30,5,ward,10,0.9545454545454546,22,2,3,4
current20,ospa30,5,ward,11,0.8181818181818182,22,2,3,4
current20,ospa30,5,ward,12,1.0,22,1,4,4
current20,ospa30,5,ward,13,0.9090909090909091,22,2,3,4
current20,ospa30,5,ward,15,0.9545454545454546,22,2,2,3
current20,ospa30,5,ward,17,1.0,22,1,2,2
current20,ospa30,5,ward,2,1.0,22,1,1,1
current20,ospa30,5,ward,28,1.0,22,1,2,2
current20,ospa30,5,ward,29,1.0,22,1,4,4
current20,ospa30,5,ward,30,0.9545454545454546,22,2,3,4
current20,ospa30,5,ward,31,0.8181818181818182,22,2,3,4
current20,ospa30,5,ward,32,0.8181818181818182,22,2,3,4
current20,ospa30,5,ward,33,1.0,22,1,2,2
current20,ospa30,5,ward,34,1.0,22,1,5,5
current20,ospa30,5,ward,35,1.0,22,1,4,4
current20,ospa30,5,ward,36,1.0,22,1,3,3
current20,ospa30,5,ward,37,1.0,22,1,5,5
current20,ospa30,5,ward,6,0.9545454545454546,22,2,3,4
current20,ospa30,5,ward,8,0.5909090909090909,22,2,2,3
current20,ospa60,2,quantile,1,1.0,22,1,1,1
current20,ospa60,2,quantile,10,0.9090909090909091,22,2,1,2
current20,ospa60,2,quantile,11,1.0,22,1,2,2
current20,ospa60,2,quantile,12,0.9090909090909091,22,2,1,2
current20,ospa60,2,quantile,13,1.0,22,1,2,2
current20,ospa60,2,quantile,15,1.0,22,1,1,1
current20,ospa60,2,quantile,17,1.0,22,1,1,1
current20,ospa60,2,quantile,2,1.0,22,1,1,1
current20,ospa60,2,quantile,28,1.0,22,1,1,1
current20,ospa60,2,quantile,29,1.0,22,1,2,2
current20,ospa60,2,quantile,30,1.0,22,1,2,2
current20,ospa60,2,quantile,31,1.0,22,1,2,2
current20,ospa60,2,quantile,32,1.0,22,1,2,2
current20,ospa60,2,quantile,33,1.0,22,1,1,1
current20,ospa60,2,quantile,34,1.0,22,1,2,2
current20,ospa60,2,quantile,35,1.0,22,1,2,2
current20,ospa60,2,quantile,36,1.0,22,1,1,1
current20,ospa60,2,quantile,37,1.0,22,1,2,2
current20,ospa60,2,quantile,6,1.0,22,1,1,1
current20,ospa60,2,quantile,8,1.0,22,1,1,1
current20,ospa60,2,ward,1,0.8181818181818182,22,2,1,2
current20,ospa60,2,ward,10,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,11,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,12,0.8636363636363636,22,2,1,2
current20,ospa60,2,ward,13,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,15,0.9545454545454546,22,2,1,2
current20,ospa60,2,ward,17,1.0,22,1,1,1
current20,ospa60,2,ward,2,1.0,22,1,1,1
current20,ospa60,2,ward,28,1.0,22,1,1,1
current20,ospa60,2,ward,29,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,30,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,31,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,32,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,33,1.0,22,1,1,1
current20,ospa60,2,ward,34,1.0,22,1,2,2
current20,ospa60,2,ward,35,0.9090909090909091,22,2,1,2
current20,ospa60,2,ward,36,0.8636363636363636,22,2,1,2
current20,ospa60,2,ward,37,1.0,22,1,2,2
current20,ospa60,2,ward,6,0.8636363636363636,22,2,1,2
current20,ospa60,2,ward,8,0.7727272727272727,22,2,1,2
current20,ospa60,3,quantile,1,1.0,22,1,1,1
current20,ospa60,3,quantile,10,0.9090909090909091,22,3,1,3
current20,ospa60,3,quantile,11,0.8181818181818182,22,2,2,3
current20,ospa60,3,quantile,12,1.0,22,1,2,2
current20,ospa60,3,quantile,13,0.9090909090909091,22,2,2,3
current20,ospa60,3,quantile,15,1.0,22,1,1,1
current20,ospa60,3,quantile,17,1.0,22,1,1,1
current20,ospa60,3,quantile,2,1.0,22,1,1,1
current20,ospa60,3,quantile,28,1.0,22,1,1,1
current20,ospa60,3,quantile,29,1.0,22,1,3,3
current20,ospa60,3,quantile,30,0.9090909090909091,22,2,2,3
current20,ospa60,3,quantile,31,0.8636363636363636,22,2,2,3
current20,ospa60,3,quantile,32,0.7272727272727273,22,2,2,3
current20,ospa60,3,quantile,33,1.0,22,1,1,1
current20,ospa60,3,quantile,34,1.0,22,1,3,3
current20,ospa60,3,quantile,35,1.0,22,1,3,3
current20,ospa60,3,quantile,36,0.9545454545454546,22,2,1,2
current20,ospa60,3,quantile,37,1.0,22,1,3,3
current20,ospa60,3,quantile,6,0.9545454545454546,22,2,1,2
current20,ospa60,3,quantile,8,0.8636363636363636,22,2,1,2
current20,ospa60,3,ward,1,0.8636363636363636,22,2,1,2
current20,ospa60,3,ward,10,1.0,22,1,2,2
current20,ospa60,3,ward,11,1.0,22,1,2,2
current20,ospa60,3,ward,12,0.9545454545454546,22,2,1,2
current20,ospa60,3,ward,13,1.0,22,1,2,2
current20,ospa60,3,ward,15,0.9545454545454546,22,2,1,2
current20,ospa60,3,ward,17,1.0,22,1,1,1
current20,ospa60,3,ward,2,1.0,22,1,1,1
current20,ospa60,3,ward,28,1.0,22,1,1,1
current20,ospa60,3,ward,29,1.0,22,1,2,2
current20,ospa60,3,ward,30,1.0,22,1,2,2
current20,ospa60,3,ward,31,1.0,22,1,2,2
current20,ospa60,3,ward,32,1.0,22,1,2,2
current20,ospa60,3,ward,33,1.0,22,1,1,1
current20,ospa60,3,ward,34,1.0,22,1,3,3
current20,ospa60,3,ward,35,1.0,22,1,2,2
current20,ospa60,3,ward,36,0.9545454545454546,22,2,1,2
current20,ospa60,3,ward,37,1.0,22,1,3,3
current20,ospa60,3,ward,6,0.9545454545454546,22,2,1,2
current20,ospa60,3,ward,8,0.8181818181818182,22,2,1,2
current20,ospa60,4,quantile,1,1.0,22,1,2,2
current20,ospa60,4,quantile,10,0.9090909090909091,22,2,2,3
current20,ospa60,4,quantile,11,0.8636363636363636,22,2,3,4
current20,ospa60,4,quantile,12,0.9090909090909091,22,2,2,3
current20,ospa60,4,quantile,13,1.0,22,1,3,3
current20,ospa60,4,quantile,15,0.9545454545454546,22,2,1,2
current20,ospa60,4,quantile,17,1.0,22,1,1,1
current20,ospa60,4,quantile,2,1.0,22,1,1,1
current20,ospa60,4,quantile,28,1.0,22,1,1,1
current20,ospa60,4,quantile,29,0.9545454545454546,22,2,3,4
current20,ospa60,4,quantile,30,0.7727272727272727,22,2,3,4
current20,ospa60,4,quantile,31,0.8636363636363636,22,2,3,4
current20,ospa60,4,quantile,32,0.9545454545454546,22,2,3,4
current20,ospa60,4,quantile,33,1.0,22,1,1,1
current20,ospa60,4,quantile,34,1.0,22,1,4,4
current20,ospa60,4,quantile,35,0.9545454545454546,22,2,3,4
current20,ospa60,4,quantile,36,1.0,22,1,2,2
current20,ospa60,4,quantile,37,1.0,22,1,4,4
current20,ospa60,4,quantile,6,1.0,22,1,2,2
current20,ospa60,4,quantile,8,0.9545454545454546,22,2,1,2
current20,ospa60,4,ward,1,0.8181818181818182,22,2,2,3
current20,ospa60,4,ward,10,0.9545454545454546,22,2,2,3
current20,ospa60,4,ward,11,1.0,22,1,3,3
current20,ospa60,4,ward,12,0.9545454545454546,22,2,2,3
current20,ospa60,4,ward,13,0.9545454545454546,22,2,2,3
current20,ospa60,4,ward,15,1.0,22,1,2,2
current20,ospa60,4,ward,17,0.9545454545454546,22,2,1,2
current20,ospa60,4,ward,2,1.0,22,1,1,1
current20,ospa60,4,ward,28,0.9545454545454546,22,2,1,2
current20,ospa60,4,ward,29,1.0,22,1,3,3
current20,ospa60,4,ward,30,1.0,22,1,3,3
current20,ospa60,4,ward,31,1.0,22,1,3,3
current20,ospa60,4,ward,32,1.0,22,1,3,3
current20,ospa60,4,ward,33,0.9545454545454546,22,2,1,2
current20,ospa60,4,ward,34,1.0,22,1,4,4
current20,ospa60,4,ward,35,1.0,22,1,3,3
current20,ospa60,4,ward,36,0.9090909090909091,22,2,2,3
current20,ospa60,4,ward,37,1.0,22,1,4,4
current20,ospa60,4,ward,6,0.9090909090909091,22,2,2,3
current20,ospa60,4,ward,8,0.7727272727272727,22,2,2,3
current20,ospa60,5,quantile,1,1.0,22,1,2,2
current20,ospa60,5,quantile,10,0.9090909090909091,22,3,2,4
current20,ospa60,5,quantile,11,0.8636363636363636,22,2,3,4
current20,ospa60,5,quantile,12,0.9090909090909091,22,3,2,4
current20,ospa60,5,quantile,13,0.5454545454545454,22,2,3,4
current20,ospa60,5,quantile,15,0.8636363636363636,22,2,1,2
current20,ospa60,5,quantile,17,1.0,22,1,1,1
current20,ospa60,5,quantile,2,1.0,22,1,1,1
current20,ospa60,5,quantile,28,0.9090909090909091,22,2,1,2
current20,ospa60,5,quantile,29,0.9090909090909091,22,2,4,5
current20,ospa60,5,quantile,30,0.8181818181818182,22,3,3,5
current20,ospa60,5,quantile,31,0.9545454545454546,22,2,3,4
current20,ospa60,5,quantile,32,0.6818181818181818,22,3,3,5
current20,ospa60,5,quantile,33,0.9545454545454546,22,2,1,2
current20,ospa60,5,quantile,34,1.0,22,1,5,5
current20,ospa60,5,quantile,35,0.9545454545454546,22,2,4,5
current20,ospa60,5,quantile,36,0.5909090909090909,22,2,2,3
current20,ospa60,5,quantile,37,1.0,22,1,5,5
current20,ospa60,5,quantile,6,0.5,22,2,2,3
current20,ospa60,5,quantile,8,1.0,22,1,2,2
current20,ospa60,5,ward,1,0.9090909090909091,22,2,2,3
current20,ospa60,5,ward,10,0.8636363636363636,22,2,3,4
current20,ospa60,5,ward,11,0.9090909090909091,22,2,3,4
current20,ospa60,5,ward,12,0.9090909090909091,22,2,3,4
current20,ospa60,5,ward,13,0.8636363636363636,22,2,3,4
current20,ospa60,5,ward,15,0.9545454545454546,22,2,2,3
current20,ospa60,5,ward,17,1.0,22,1,2,2
current20,ospa60,5,ward,2,1.0,22,1,1,1
current20,ospa60,5,ward,28,1.0,22,1,2,2
current20,ospa60,5,ward,29,1.0,22,1,4,4
current20,ospa60,5,ward,30,0.9545454545454546,22,2,3,4
current20,ospa60,5,ward,31,0.9545454545454546,22,2,3,4
current20,ospa60,5,ward,32,0.9545454545454546,22,2,3,4
current20,ospa60,5,ward,33,1.0,22,1,2,2
current20,ospa60,5,ward,34,1.0,22,1,5,5
current20,ospa60,5,ward,35,1.0,22,1,4,4
current20,ospa60,5,ward,36,1.0,22,1,3,3
current20,ospa60,5,ward,37,1.0,22,1,5,5
current20,ospa60,5,ward,6,1.0,22,1,3,3
current20,ospa60,5,ward,8,0.8636363636363636,22,2,2,3
