code,image_id,condition,N,cut,view_a,view_b,count_a,count_b,different_membership_pairs,different_threshold_pairs
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,6.0,split_fixed,top_bottom_partition_intersection,2,2,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,9.0,split_fixed,bound_fixed,2,2,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,9.0,split_fixed,split_cyclic,2,2,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,9.0,bound_fixed,bound_cyclic,2,2,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,9.0,split_cyclic,split_free,2,2,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,9.0,bound_cyclic,bound_free,2,2,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,9.0,split_fixed,top_bottom_partition_intersection,2,2,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,12.0,split_fixed,bound_fixed,1,1,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,12.0,split_fixed,split_cyclic,1,1,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,12.0,bound_fixed,bound_cyclic,1,1,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,12.0,split_cyclic,split_free,1,1,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,12.0,bound_cyclic,bound_free,1,1,0,0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,12.0,split_fixed,top_bottom_partition_intersection,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,3.0,split_fixed,bound_fixed,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,3.0,split_fixed,split_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,3.0,bound_fixed,bound_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,3.0,split_cyclic,split_free,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,3.0,bound_cyclic,bound_free,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,3.0,split_fixed,top_bottom_partition_intersection,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,6.0,split_fixed,bound_fixed,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,6.0,split_fixed,split_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,6.0,bound_fixed,bound_cyclic,1,1,0,0
2t7WUuJeko7-13,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,6.0,split_cyclic,split_free,1,1,0,0
