condition,view,cut,worker,images,buildings,singletons,rate,peer_centered_rate,no_same_count_peer,singletons_with_close_peer
manual,bound_fixed,9.0,W015,61,17,4,0.06557377049180328,-0.1956917685755051,1,0
manual,bound_fixed,9.0,W017,63,16,11,0.1746031746031746,-0.10094178207075541,2,1
manual,bound_fixed,9.0,W018,55,12,11,0.2,-0.01002823263692828,4,0
manual,bound_fixed,9.0,W021,30,12,0,0.0,-0.23055492816362388,0,0
manual,bound_fixed,9.0,W027,57,12,20,0.3508771929824561,0.05028364719440235,6,2
manual,bound_fixed,9.0,W028,61,15,19,0.3114754098360656,0.03947713991318032,6,0
manual,bound_fixed,9.0,W029,63,16,15,0.23809523809523808,-0.0497088075458554,3,2
manual,bound_fixed,9.0,W030,64,16,18,0.28125,-0.020768887265050946,3,0
manual,bound_fixed,9.0,W031,68,16,19,0.27941176470588236,0.015939391334306344,6,0
manual,bound_fixed,9.0,W032,65,17,31,0.47692307692307695,0.21759494554890974,10,1
manual,bound_fixed,9.0,W033,63,16,17,0.2698412698412698,-0.009989819379662269,4,1
manual,bound_fixed,9.0,W034,77,16,37,0.4805194805194805,0.25105584454406993,18,2
manual,bound_fixed,9.0,W035,61,15,16,0.26229508196721313,-0.010281780048246855,4,1
manual,bound_fixed,9.0,W036,59,16,21,0.3559322033898305,0.06476698895095878,6,1
manual,bound_fixed,9.0,W037,62,17,33,0.532258064516129,0.27983466496377973,14,7
manual,bound_fixed,12.0,W001,56,16,21,0.375,0.16131538913325544,6,3
manual,bound_fixed,12.0,W002,57,18,5,0.08771929824561403,-0.14733451663724917,3,0
manual,bound_fixed,12.0,W006,64,17,8,0.125,-0.05837201481383067,2,0
manual,bound_fixed,12.0,W008,61,17,7,0.11475409836065574,-0.09576007383017573,2,1
manual,bound_fixed,12.0,W010,61,16,10,0.16393442622950818,-0.019959708974844604,3,1
manual,bound_fixed,12.0,W011,62,16,9,0.14516129032258066,-0.11430353304992362,4,0
manual,bound_fixed,12.0,W012,59,16,22,0.3728813559322034,0.13140931055881858,8,6
manual,bound_fixed,12.0,W013,61,16,1,0.01639344262295082,-0.18905900164337963,0,0
manual,bound_fixed,12.0,W014,56,12,0,0.0,-0.19984152752009893,0,0
manual,bound_fixed,12.0,W015,61,17,4,0.06557377049180328,-0.1545972884931419,1,0
manual,bound_fixed,12.0,W017,63,16,7,0.1111111111111111,-0.1142543417601267,2,0
manual,bound_fixed,12.0,W018,55,12,9,0.16363636363636364,-0.004534161490683226,4,0
manual,bound_fixed,12.0,W021,30,12,0,0.0,-0.19479076479076482,0,0
manual,bound_fixed,12.0,W027,57,12,17,0.2982456140350877,0.038963350404998,6,1
manual,bound_fixed,12.0,W028,61,15,18,0.29508196721311475,0.060154332365141124,6,1
manual,bound_fixed,12.0,W029,63,16,10,0.15873015873015872,-0.09610688075552282,3,0
manual,bound_fixed,12.0,W030,64,16,16,0.25,0.005449478457390865,3,2
manual,bound_fixed,12.0,W031,68,16,17,0.25,0.01996042003564194,6,2
manual,bound_fixed,12.0,W032,65,17,27,0.4153846153846154,0.19515820354695035,10,1
manual,bound_fixed,12.0,W033,63,16,16,0.25396825396825395,0.012604306837652358,4,2
manual,bound_fixed,12.0,W034,77,16,34,0.44155844155844154,0.2618344379313589,18,2
manual,bound_fixed,12.0,W035,61,15,15,0.2459016393442623,0.010395412403713949,4,1
manual,bound_fixed,12.0,W036,59,16,21,0.3559322033898305,0.1140341632734021,6,2
manual,bound_fixed,12.0,W037,62,17,26,0.41935483870967744,0.19989784940284075,14,0
manual,bound_free,6.0,W001,56,16,34,0.6071428571428571,0.2958814355781838,6,8
manual,bound_free,6.0,W002,57,18,8,0.14035087719298245,-0.2110808389648072,3,0
manual,bound_free,6.0,W006,64,17,9,0.140625,-0.16593816545063347,2,0
manual,bound_free,6.0,W008,61,17,19,0.3114754098360656,-0.008195496172939463,2,5
manual,bound_free,6.0,W010,61,16,23,0.3770491803278688,0.08580895413522979,3,4
manual,bound_free,6.0,W011,62,16,14,0.22580645161290322,-0.1189768439995319,4,0
manual,bound_free,6.0,W012,59,16,35,0.5932203389830508,0.26114295609939114,8,7
manual,bound_free,6.0,W013,61,16,2,0.03278688524590164,-0.2740788364850249,0,1
manual,bound_free,6.0,W014,56,12,0,0.0,-0.3061256419563873,0,0
manual,bound_free,6.0,W015,61,17,5,0.08196721311475409,-0.24778144653831208,1,1
manual,bound_free,6.0,W017,63,16,15,0.23809523809523808,-0.1102522783377734,2,1
manual,bound_free,6.0,W018,55,12,13,0.23636363636363636,-0.03146142395154252,4,1
manual,bound_free,6.0,W021,30,12,0,0.0,-0.3041834494008407,0,0
manual,bound_free,6.0,W027,57,12,23,0.40350877192982454,0.0552461522713239,6,2
manual,bound_free,6.0,W028,61,15,26,0.4262295081967213,0.09433685610575468,6,3
manual,bound_free,6.0,W029,63,16,18,0.2857142857142857,-0.05874603977149343,3,4
manual,bound_free,6.0,W030,64,16,22,0.34375,-0.01753580920180984,3,2
manual,bound_free,6.0,W031,68,16,24,0.35294117647058826,0.023431834952069647,6,2
manual,bound_free,6.0,W032,65,17,36,0.5538461538461539,0.22683136130706463,10,2
manual,bound_free,6.0,W033,63,16,20,0.31746031746031744,-0.01372872674175804,4,2
manual,bound_free,6.0,W034,77,16,43,0.5584415584415584,0.2746094413331268,18,6
manual,bound_free,6.0,W035,61,15,20,0.32786885245901637,-0.005953392826060636,4,2
manual,bound_free,6.0,W036,59,16,22,0.3728813559322034,0.024507567704065175,6,1
manual,bound_free,6.0,W037,62,17,38,0.6129032258064516,0.2953998540212549,14,5
manual,bound_free,9.0,W001,56,16,28,0.5,0.24952747897578004,6,5
manual,bound_free,9.0,W002,57,18,5,0.08771929824561403,-0.20052777646666464,3,0
manual,bound_free,9.0,W006,64,17,9,0.140625,-0.08070780477869671,2,0
manual,bound_free,9.0,W008,61,17,10,0.16393442622950818,-0.09050582067855978,2,1
manual,bound_free,9.0,W010,61,16,14,0.22950819672131148,0.008808370969286656,3,2
manual,bound_free,9.0,W011,62,16,12,0.1935483870967742,-0.09291538792405059,4,1
manual,bound_free,9.0,W012,59,16,28,0.4745762711864407,0.19572155607961236,8,4
manual,bound_free,9.0,W013,61,16,1,0.01639344262295082,-0.22881220005659234,0,0
manual,bound_free,9.0,W014,56,12,0,0.0,-0.24115999166465005,0,0
manual,bound_free,9.0,W015,61,17,3,0.04918032786885246,-0.20828491313586278,1,0
manual,bound_free,9.0,W017,63,16,11,0.1746031746031746,-0.09726212839110175,2,1
manual,bound_free,9.0,W018,55,12,11,0.2,-0.005813356603870429,4,0
manual,bound_free,9.0,W021,30,12,0,0.0,-0.2288882614969572,0,0
manual,bound_free,9.0,W027,57,12,18,0.3157894736842105,0.018465465376220527,6,2
manual,bound_free,9.0,W028,61,15,19,0.3114754098360656,0.04737579863151117,6,0
manual,bound_free,9.0,W029,63,16,14,0.2222222222222222,-0.058655416492464356,3,2
manual,bound_free,9.0,W030,64,16,18,0.28125,-0.017146728174141854,3,0
manual,bound_free,9.0,W031,68,16,19,0.27941176470588236,0.02228965871398549,6,0
manual,bound_free,9.0,W032,65,17,31,0.47692307692307695,0.2211613791153433,10,1
manual,bound_free,9.0,W033,63,16,17,0.2698412698412698,-0.0023419117317546208,4,1
manual,bound_free,9.0,W034,77,16,37,0.4805194805194805,0.2573132235287216,18,2
manual,bound_free,9.0,W035,61,15,15,0.2459016393442623,-0.024439753222613474,4,0
manual,bound_free,9.0,W036,59,16,21,0.3559322033898305,0.07208594118516524,6,1
manual,bound_free,9.0,W037,62,17,33,0.532258064516129,0.28760592596084716,14,7
manual,bound_free,12.0,W001,56,16,21,0.375,0.1638316228994892,6,4
manual,bound_free,12.0,W002,57,18,4,0.07017543859649122,-0.16328347995463355,3,0
manual,bound_free,12.0,W006,64,17,8,0.125,-0.05617031026837612,2,0
manual,bound_free,12.0,W008,61,17,7,0.11475409836065574,-0.09345008873330539,2,1
manual,bound_free,12.0,W010,61,16,10,0.16393442622950818,-0.017649723877974262,3,1
manual,bound_free,12.0,W011,62,16,9,0.14516129032258066,-0.10799854771268022,4,0
manual,bound_free,12.0,W012,59,16,22,0.3728813559322034,0.13379760023524384,8,6
manual,bound_free,12.0,W013,61,16,1,0.01639344262295082,-0.1867490165465093,0,0
manual,bound_free,12.0,W014,56,12,0,0.0,-0.1973252937538652,0,0
manual,bound_free,12.0,W015,61,17,3,0.04918032786885246,-0.16868074601922237,1,0
manual,bound_free,12.0,W017,63,16,7,0.1111111111111111,-0.11201768952347446,2,0
manual,bound_free,12.0,W018,55,12,9,0.16363636363636364,-0.001972178019608846,4,0
manual,bound_free,12.0,W021,30,12,0,0.0,-0.19312409812409814,0,0
manual,bound_free,12.0,W027,57,12,16,0.2807017543859649,0.02309413190420055,6,1
manual,bound_free,12.0,W028,61,15,18,0.29508196721311475,0.06246431746201149,6,1
manual,bound_free,12.0,W029,63,16,9,0.14285714285714285,-0.11046474511338718,3,0
manual,bound_free,12.0,W030,64,16,16,0.25,0.007651183002845407,3,2
manual,bound_free,12.0,W031,68,16,17,0.25,0.021297318431363864,6,2
manual,bound_free,12.0,W032,65,17,27,0.4153846153846154,0.19732603571478252,10,1
manual,bound_free,12.0,W033,63,16,16,0.25396825396825395,0.01880921304255857,4,2
manual,bound_free,12.0,W034,77,16,34,0.44155844155844154,0.2669111793717367,18,2
manual,bound_free,12.0,W035,61,15,15,0.2459016393442623,0.011885725369436757,4,1
manual,bound_free,12.0,W036,59,16,21,0.3559322033898305,0.1155749953227087,6,2
manual,bound_free,12.0,W037,62,17,26,0.41935483870967744,0.20620283474008416,14,0
manual,count_only,0.0,W001,56,16,6,0.10714285714285714,0.03327015918356803,6,0
manual,count_only,0.0,W002,57,18,3,0.05263157894736842,-0.039217638376340756,3,0
manual,count_only,0.0,W006,64,17,2,0.03125,-0.03170738486435417,2,0
manual,count_only,0.0,W008,61,17,2,0.03278688524590164,-0.05208682535628994,2,0
manual,count_only,0.0,W010,61,16,3,0.04918032786885246,-0.004000691401638949,3,0
manual,count_only,0.0,W011,62,16,4,0.06451612903225806,-0.048020908818285274,4,0
manual,count_only,0.0,W012,59,16,8,0.13559322033898305,0.06247580741056835,8,0
manual,count_only,0.0,W013,61,16,0,0.0,-0.05775001462603661,0,0
manual,count_only,0.0,W014,56,12,0,0.0,-0.06695621924659192,0,0
manual,count_only,0.0,W015,61,17,1,0.01639344262295082,-0.07742214577357757,1,0
manual,count_only,0.0,W017,63,16,2,0.031746031746031744,-0.05545973037143419,2,0
manual,count_only,0.0,W018,55,12,4,0.07272727272727272,0.019716475882483788,4,0
manual,count_only,0.0,W021,30,12,0,0.0,-0.0495376121463078,0,0
manual,count_only,0.0,W027,57,12,6,0.10526315789473684,0.008467479634527696,6,0
manual,count_only,0.0,W028,61,15,6,0.09836065573770492,0.007819372592338085,6,0
manual,count_only,0.0,W029,63,16,3,0.047619047619047616,-0.03845636336806718,3,0
manual,count_only,0.0,W030,64,16,3,0.046875,-0.030287616528824966,3,0
manual,count_only,0.0,W031,68,16,6,0.08823529411764706,-0.00365453629332071,6,0
manual,count_only,0.0,W032,65,17,10,0.15384615384615385,0.06988887781726658,10,0
manual,count_only,0.0,W033,63,16,4,0.06349206349206349,-0.025548820025741225,4,0
manual,count_only,0.0,W034,77,16,18,0.23376623376623376,0.16046026267735503,18,0
manual,count_only,0.0,W035,61,15,4,0.06557377049180328,-0.015340891318837733,4,0
manual,count_only,0.0,W036,59,16,6,0.1016949152542373,0.017057948433387333,6,0
manual,count_only,0.0,W037,62,17,14,0.22580645161290322,0.14992934102537273,14,0
manual,split_cyclic,6.0,W001,56,16,34,0.6071428571428571,0.2958814355781838,6,8
manual,split_cyclic,6.0,W002,57,18,8,0.14035087719298245,-0.2110808389648072,3,0
manual,split_cyclic,6.0,W006,64,17,9,0.140625,-0.16593816545063347,2,0
manual,split_cyclic,6.0,W008,61,17,19,0.3114754098360656,-0.008195496172939463,2,5
manual,split_cyclic,6.0,W010,61,16,23,0.3770491803278688,0.08580895413522979,3,4
manual,split_cyclic,6.0,W011,62,16,14,0.22580645161290322,-0.12300910206404804,4,0
manual,split_cyclic,6.0,W012,59,16,35,0.5932203389830508,0.26114295609939114,8,7
manual,split_cyclic,6.0,W013,61,16,2,0.03278688524590164,-0.2740788364850249,0,1
manual,split_cyclic,6.0,W014,56,12,0,0.0,-0.3061256419563873,0,0
manual,split_cyclic,6.0,W015,61,17,6,0.09836065573770492,-0.23138800391536127,1,1
manual,split_cyclic,6.0,W017,63,16,15,0.23809523809523808,-0.1102522783377734,2,1
manual,split_cyclic,6.0,W018,55,12,13,0.23636363636363636,-0.03146142395154252,4,1
manual,split_cyclic,6.0,W021,30,12,0,0.0,-0.3041834494008407,0,0
manual,split_cyclic,6.0,W027,57,12,23,0.40350877192982454,0.0552461522713239,6,2
manual,split_cyclic,6.0,W028,61,15,26,0.4262295081967213,0.09433685610575468,6,3
manual,split_cyclic,6.0,W029,63,16,18,0.2857142857142857,-0.05874603977149343,3,4
manual,split_cyclic,6.0,W030,64,16,22,0.34375,-0.01753580920180984,3,2
manual,split_cyclic,6.0,W031,68,16,24,0.35294117647058826,0.023431834952069647,6,2
manual,split_cyclic,6.0,W032,65,17,36,0.5538461538461539,0.22683136130706463,10,2
manual,split_cyclic,6.0,W033,63,16,20,0.31746031746031744,-0.01769698071001201,4,2
manual,split_cyclic,6.0,W034,77,16,43,0.5584415584415584,0.2713626880863736,18,6
manual,split_cyclic,6.0,W035,61,15,20,0.32786885245901637,-0.005953392826060636,4,2
manual,split_cyclic,6.0,W036,59,16,22,0.3728813559322034,0.024507567704065175,6,1
manual,split_cyclic,6.0,W037,62,17,38,0.6129032258064516,0.2913675959567388,14,5
manual,split_cyclic,9.0,W001,56,16,28,0.5,0.24701124520954626,6,5
manual,split_cyclic,9.0,W002,57,18,6,0.10526315789473684,-0.18457881314928026,3,0
manual,split_cyclic,9.0,W006,64,17,9,0.140625,-0.08290950932415127,2,0
manual,split_cyclic,9.0,W008,61,17,10,0.16393442622950818,-0.09281580577543012,2,1
manual,split_cyclic,9.0,W010,61,16,14,0.22950819672131148,0.006498385872416308,3,2
manual,split_cyclic,9.0,W011,62,16,12,0.1935483870967742,-0.09922037326129397,4,1
manual,split_cyclic,9.0,W012,59,16,29,0.4915254237288136,0.2110528349702133,8,4
manual,split_cyclic,9.0,W013,61,16,1,0.01639344262295082,-0.23112218515346267,0,0
manual,split_cyclic,9.0,W014,56,12,0,0.0,-0.2436762254308838,0,0
manual,split_cyclic,9.0,W015,61,17,4,0.06557377049180328,-0.1942014556097823,1,0
manual,split_cyclic,9.0,W017,63,16,11,0.1746031746031746,-0.09949878062775398,2,1
manual,split_cyclic,9.0,W018,55,12,11,0.2,-0.008375340074944813,4,0
manual,split_cyclic,9.0,W021,30,12,0,0.0,-0.23055492816362388,0,0
manual,split_cyclic,9.0,W027,57,12,19,0.3333333333333333,0.033537235711148757,6,2
manual,split_cyclic,9.0,W028,61,15,19,0.3114754098360656,0.04096745287890313,6,0
manual,split_cyclic,9.0,W029,63,16,14,0.2222222222222222,-0.06486032269737055,3,2
manual,split_cyclic,9.0,W030,64,16,18,0.28125,-0.019348432719596402,3,0
manual,split_cyclic,9.0,W031,68,16,19,0.27941176470588236,0.017276289730028267,6,0
manual,split_cyclic,9.0,W032,65,17,31,0.47692307692307695,0.21899354694751116,10,1
manual,split_cyclic,9.0,W033,63,16,17,0.2698412698412698,-0.008546817936660827,4,1
manual,split_cyclic,9.0,W034,77,16,37,0.4805194805194805,0.2522364820883438,18,2
manual,split_cyclic,9.0,W035,61,15,16,0.26229508196721313,-0.008791467082524056,4,1
manual,split_cyclic,9.0,W036,59,16,21,0.3559322033898305,0.06630782100026542,6,1
manual,split_cyclic,9.0,W037,62,17,33,0.532258064516129,0.2813009406236038,14,7
manual,split_cyclic,12.0,W001,56,16,21,0.375,0.16293876575663205,6,3
manual,split_cyclic,12.0,W002,57,18,5,0.08771929824561403,-0.14573962030551074,3,0
manual,split_cyclic,12.0,W006,64,17,8,0.125,-0.05695156026837612,2,0
manual,split_cyclic,12.0,W008,61,17,7,0.11475409836065574,-0.09426976086445295,2,1
manual,split_cyclic,12.0,W010,61,16,10,0.16393442622950818,-0.018469396009121803,3,1
manual,split_cyclic,12.0,W011,62,16,9,0.14516129032258066,-0.11283725739009959,4,0
manual,split_cyclic,12.0,W012,59,16,22,0.3728813559322034,0.13295014260812518,8,6
manual,split_cyclic,12.0,W013,61,16,1,0.01639344262295082,-0.18756868867765683,0,0
manual,split_cyclic,12.0,W014,56,12,0,0.0,-0.19821815089672232,0,0
manual,split_cyclic,12.0,W015,61,17,4,0.06557377049180328,-0.15310697552741911,1,0
manual,split_cyclic,12.0,W017,63,16,7,0.1111111111111111,-0.11281134031712527,2,0
manual,split_cyclic,12.0,W018,55,12,9,0.16363636363636364,-0.0028812689286997557,4,0
manual,split_cyclic,12.0,W021,30,12,0,0.0,-0.19479076479076482,0,0
manual,split_cyclic,12.0,W027,57,12,16,0.2807017543859649,0.02221693892174441,6,1
manual,split_cyclic,12.0,W028,61,15,18,0.29508196721311475,0.06164464533086394,6,1
manual,split_cyclic,12.0,W029,63,16,9,0.14285714285714285,-0.11125839590703798,3,0
manual,split_cyclic,12.0,W030,64,16,16,0.25,0.00686993300284541,3,2
manual,split_cyclic,12.0,W031,68,16,17,0.25,0.021297318431363864,6,2
manual,split_cyclic,12.0,W032,65,17,27,0.4153846153846154,0.19655680494555175,10,1
manual,split_cyclic,12.0,W033,63,16,16,0.25396825396825395,0.014047308280653807,4,2
manual,split_cyclic,12.0,W034,77,16,34,0.44155844155844154,0.2630150754756328,18,2
manual,split_cyclic,12.0,W035,61,15,15,0.2459016393442623,0.011885725369436757,4,1
manual,split_cyclic,12.0,W036,59,16,21,0.3559322033898305,0.1155749953227087,6,2
manual,split_cyclic,12.0,W037,62,17,26,0.41935483870967744,0.2013641250626648,14,0
manual,split_fixed,6.0,W001,56,16,34,0.6071428571428571,0.2942580589548072,6,8
manual,split_fixed,6.0,W002,57,18,8,0.14035087719298245,-0.21267573529654568,3,0
manual,split_fixed,6.0,W006,64,17,9,0.140625,-0.16735861999608803,2,0
