condition,view,cut,worker_a,worker_b,common_images,common_buildings,rate_a,rate_b,mean_paired_difference
manual,count_only,0.0,W028,W035,50,14,0.08,0.06,0.02
manual,count_only,0.0,W028,W036,55,15,0.10909090909090909,0.09090909090909091,0.01818181818181818
manual,count_only,0.0,W028,W037,47,15,0.0851063829787234,0.1702127659574468,-0.0851063829787234
manual,count_only,0.0,W029,W030,48,15,0.0,0.041666666666666664,-0.041666666666666664
manual,count_only,0.0,W029,W031,48,15,0.0,0.0625,-0.0625
manual,count_only,0.0,W029,W032,47,16,0.0,0.0851063829787234,-0.0851063829787234
manual,count_only,0.0,W029,W033,47,14,0.0,0.02127659574468085,-0.02127659574468085
manual,count_only,0.0,W029,W034,49,15,0.0,0.16326530612244897,-0.16326530612244897
manual,count_only,0.0,W029,W035,54,15,0.018518518518518517,0.05555555555555555,-0.037037037037037035
manual,count_only,0.0,W029,W036,55,16,0.05454545454545454,0.09090909090909091,-0.03636363636363636
manual,count_only,0.0,W029,W037,47,16,0.0,0.1702127659574468,-0.1702127659574468
manual,count_only,0.0,W030,W031,50,15,0.04,0.06,-0.02
manual,count_only,0.0,W030,W032,48,15,0.041666666666666664,0.0625,-0.020833333333333332
manual,count_only,0.0,W030,W033,49,14,0.04081632653061224,0.02040816326530612,0.02040816326530612
manual,count_only,0.0,W030,W034,49,16,0.04081632653061224,0.1836734693877551,-0.14285714285714285
manual,count_only,0.0,W030,W035,49,15,0.04081632653061224,0.04081632653061224,0.0
manual,count_only,0.0,W030,W036,48,15,0.020833333333333332,0.0625,-0.041666666666666664
manual,count_only,0.0,W030,W037,47,15,0.0425531914893617,0.1702127659574468,-0.1276595744680851
manual,count_only,0.0,W031,W032,59,15,0.06779661016949153,0.15254237288135594,-0.0847457627118644
manual,count_only,0.0,W031,W033,53,14,0.07547169811320754,0.05660377358490566,0.018867924528301886
manual,count_only,0.0,W031,W034,51,15,0.0392156862745098,0.1568627450980392,-0.11764705882352941
manual,count_only,0.0,W031,W035,49,15,0.061224489795918366,0.04081632653061224,0.02040816326530612
manual,count_only,0.0,W031,W036,46,15,0.043478260869565216,0.043478260869565216,0.0
manual,count_only,0.0,W031,W037,48,15,0.0625,0.1875,-0.125
manual,count_only,0.0,W032,W033,55,16,0.10909090909090909,0.05454545454545454,0.05454545454545454
manual,count_only,0.0,W032,W034,51,15,0.0784313725490196,0.17647058823529413,-0.09803921568627451
manual,count_only,0.0,W032,W035,45,15,0.06666666666666667,0.044444444444444446,0.022222222222222223
manual,count_only,0.0,W032,W036,44,16,0.09090909090909091,0.045454545454545456,0.045454545454545456
manual,count_only,0.0,W032,W037,51,17,0.0784313725490196,0.1568627450980392,-0.0784313725490196
manual,count_only,0.0,W033,W034,51,14,0.0196078431372549,0.19607843137254902,-0.17647058823529413
manual,count_only,0.0,W033,W035,45,14,0.022222222222222223,0.044444444444444446,-0.022222222222222223
manual,count_only,0.0,W033,W036,43,14,0.023255813953488372,0.046511627906976744,-0.023255813953488372
manual,count_only,0.0,W033,W037,51,16,0.0196078431372549,0.17647058823529413,-0.1568627450980392
manual,count_only,0.0,W034,W035,51,15,0.17647058823529413,0.058823529411764705,0.11764705882352941
manual,count_only,0.0,W034,W036,45,15,0.13333333333333333,0.044444444444444446,0.08888888888888889
manual,count_only,0.0,W034,W037,58,15,0.1896551724137931,0.20689655172413793,-0.017241379310344827
manual,count_only,0.0,W035,W036,48,15,0.0625,0.0625,0.0
manual,count_only,0.0,W035,W037,46,15,0.043478260869565216,0.17391304347826086,-0.13043478260869565
manual,count_only,0.0,W036,W037,46,16,0.043478260869565216,0.17391304347826086,-0.13043478260869565
manual,split_fixed,9.0,W001,W002,48,15,0.5,0.08333333333333333,0.4166666666666667
manual,split_fixed,9.0,W001,W006,42,14,0.5238095238095238,0.16666666666666666,0.35714285714285715
manual,split_fixed,9.0,W001,W008,41,14,0.5121951219512195,0.12195121951219512,0.3902439024390244
manual,split_fixed,9.0,W001,W010,41,13,0.5121951219512195,0.2682926829268293,0.24390243902439024
manual,split_fixed,9.0,W001,W011,44,14,0.5227272727272727,0.13636363636363635,0.38636363636363635
manual,split_fixed,9.0,W001,W012,49,15,0.4897959183673469,0.42857142857142855,0.061224489795918366
manual,split_fixed,9.0,W001,W013,43,14,0.5348837209302325,0.023255813953488372,0.5116279069767442
manual,split_fixed,9.0,W001,W014,40,12,0.55,0.0,0.55
manual,split_fixed,9.0,W001,W015,44,14,0.5227272727272727,0.045454545454545456,0.4772727272727273
manual,split_fixed,9.0,W001,W017,42,14,0.5238095238095238,0.14285714285714285,0.38095238095238093
manual,split_fixed,9.0,W001,W018,38,12,0.5526315789473685,0.10526315789473684,0.4473684210526316
manual,split_fixed,9.0,W001,W021,28,12,0.42857142857142855,0.0,0.42857142857142855
manual,split_fixed,9.0,W001,W027,41,12,0.5365853658536586,0.3170731707317073,0.21951219512195122
manual,split_fixed,9.0,W001,W028,44,14,0.5,0.25,0.25
manual,split_fixed,9.0,W001,W029,45,15,0.4888888888888889,0.2,0.28888888888888886
manual,split_fixed,9.0,W001,W030,47,15,0.5106382978723404,0.23404255319148937,0.2765957446808511
manual,split_fixed,9.0,W001,W031,43,15,0.4883720930232558,0.23255813953488372,0.2558139534883721
manual,split_fixed,9.0,W001,W032,42,15,0.5238095238095238,0.42857142857142855,0.09523809523809523
manual,split_fixed,9.0,W001,W033,42,13,0.5238095238095238,0.2857142857142857,0.23809523809523808
manual,split_fixed,9.0,W001,W034,49,15,0.5306122448979592,0.46938775510204084,0.061224489795918366
manual,split_fixed,9.0,W001,W035,44,15,0.5,0.20454545454545456,0.29545454545454547
manual,split_fixed,9.0,W001,W036,44,14,0.5,0.3181818181818182,0.18181818181818182
manual,split_fixed,9.0,W001,W037,47,14,0.5319148936170213,0.5319148936170213,0.0
manual,split_fixed,9.0,W002,W006,44,16,0.045454545454545456,0.13636363636363635,-0.09090909090909091
manual,split_fixed,9.0,W002,W008,44,16,0.06818181818181818,0.1590909090909091,-0.09090909090909091
manual,split_fixed,9.0,W002,W010,42,14,0.047619047619047616,0.2619047619047619,-0.21428571428571427
manual,split_fixed,9.0,W002,W011,45,15,0.044444444444444446,0.13333333333333333,-0.08888888888888889
manual,split_fixed,9.0,W002,W012,48,16,0.08333333333333333,0.3958333333333333,-0.3125
manual,split_fixed,9.0,W002,W013,44,16,0.045454545454545456,0.022727272727272728,0.022727272727272728
manual,split_fixed,9.0,W002,W014,40,12,0.05,0.0,0.05
manual,split_fixed,9.0,W002,W015,48,16,0.041666666666666664,0.020833333333333332,0.020833333333333332
manual,split_fixed,9.0,W002,W017,44,15,0.06818181818181818,0.11363636363636363,-0.045454545454545456
manual,split_fixed,9.0,W002,W018,39,12,0.05128205128205128,0.1282051282051282,-0.07692307692307693
manual,split_fixed,9.0,W002,W021,28,12,0.07142857142857142,0.0,0.07142857142857142
manual,split_fixed,9.0,W002,W027,41,12,0.07317073170731707,0.2926829268292683,-0.21951219512195122
manual,split_fixed,9.0,W002,W028,44,15,0.06818181818181818,0.25,-0.18181818181818182
manual,split_fixed,9.0,W002,W029,45,16,0.06666666666666667,0.2222222222222222,-0.15555555555555556
manual,split_fixed,9.0,W002,W030,46,16,0.08695652173913043,0.1956521739130435,-0.10869565217391304
manual,split_fixed,9.0,W002,W031,42,15,0.023809523809523808,0.19047619047619047,-0.16666666666666666
manual,split_fixed,9.0,W002,W032,44,16,0.06818181818181818,0.45454545454545453,-0.38636363636363635
manual,split_fixed,9.0,W002,W033,42,14,0.047619047619047616,0.2619047619047619,-0.21428571428571427
manual,split_fixed,9.0,W002,W034,53,16,0.07547169811320754,0.4716981132075472,-0.39622641509433965
manual,split_fixed,9.0,W002,W035,42,15,0.023809523809523808,0.21428571428571427,-0.19047619047619047
manual,split_fixed,9.0,W002,W036,44,16,0.045454545454545456,0.29545454545454547,-0.25
manual,split_fixed,9.0,W002,W037,51,16,0.0784313725490196,0.5098039215686274,-0.43137254901960786
manual,split_fixed,9.0,W006,W008,54,17,0.16666666666666666,0.12962962962962962,0.037037037037037035
manual,split_fixed,9.0,W006,W010,57,15,0.14035087719298245,0.22807017543859648,-0.08771929824561403
manual,split_fixed,9.0,W006,W011,47,15,0.1702127659574468,0.1702127659574468,0.0
manual,split_fixed,9.0,W006,W012,45,15,0.15555555555555556,0.4222222222222222,-0.26666666666666666
manual,split_fixed,9.0,W006,W013,51,16,0.1568627450980392,0.0196078431372549,0.13725490196078433
manual,split_fixed,9.0,W006,W014,47,12,0.1276595744680851,0.0,0.1276595744680851
manual,split_fixed,9.0,W006,W015,47,16,0.1702127659574468,0.02127659574468085,0.14893617021276595
manual,split_fixed,9.0,W006,W017,58,16,0.15517241379310345,0.1206896551724138,0.034482758620689655
manual,split_fixed,9.0,W006,W018,47,12,0.1276595744680851,0.1276595744680851,0.0
manual,split_fixed,9.0,W006,W021,30,12,0.13333333333333333,0.0,0.13333333333333333
manual,split_fixed,9.0,W006,W027,43,12,0.13953488372093023,0.27906976744186046,-0.13953488372093023
manual,split_fixed,9.0,W006,W028,47,14,0.1702127659574468,0.2765957446808511,-0.10638297872340426
manual,split_fixed,9.0,W006,W029,48,15,0.16666666666666666,0.22916666666666666,-0.0625
manual,split_fixed,9.0,W006,W030,48,15,0.16666666666666666,0.25,-0.08333333333333333
manual,split_fixed,9.0,W006,W031,51,16,0.1568627450980392,0.21568627450980393,-0.058823529411764705
manual,split_fixed,9.0,W006,W032,48,15,0.1875,0.4791666666666667,-0.2916666666666667
manual,split_fixed,9.0,W006,W033,47,14,0.1702127659574468,0.2978723404255319,-0.1276595744680851
manual,split_fixed,9.0,W006,W034,53,15,0.1509433962264151,0.41509433962264153,-0.2641509433962264
manual,split_fixed,9.0,W006,W035,45,15,0.15555555555555556,0.24444444444444444,-0.08888888888888889
manual,split_fixed,9.0,W006,W036,45,15,0.15555555555555556,0.3333333333333333,-0.17777777777777778
manual,split_fixed,9.0,W006,W037,46,15,0.17391304347826086,0.5,-0.32608695652173914
manual,split_fixed,9.0,W008,W010,49,15,0.12244897959183673,0.24489795918367346,-0.12244897959183673
manual,split_fixed,9.0,W008,W011,46,15,0.13043478260869565,0.15217391304347827,-0.021739130434782608
manual,split_fixed,9.0,W008,W012,45,15,0.13333333333333333,0.4222222222222222,-0.28888888888888886
manual,split_fixed,9.0,W008,W013,47,16,0.14893617021276595,0.02127659574468085,0.1276595744680851
manual,split_fixed,9.0,W008,W014,42,12,0.11904761904761904,0.0,0.11904761904761904
manual,split_fixed,9.0,W008,W015,46,16,0.15217391304347827,0.021739130434782608,0.13043478260869565
manual,split_fixed,9.0,W008,W017,57,16,0.15789473684210525,0.15789473684210525,0.0
manual,split_fixed,9.0,W008,W018,42,12,0.11904761904761904,0.16666666666666666,-0.047619047619047616
manual,split_fixed,9.0,W008,W021,30,12,0.13333333333333333,0.0,0.13333333333333333
manual,split_fixed,9.0,W008,W027,41,12,0.12195121951219512,0.2682926829268293,-0.14634146341463414
manual,split_fixed,9.0,W008,W028,44,14,0.13636363636363635,0.25,-0.11363636363636363
manual,split_fixed,9.0,W008,W029,46,15,0.13043478260869565,0.1956521739130435,-0.06521739130434782
manual,split_fixed,9.0,W008,W030,47,15,0.14893617021276595,0.23404255319148937,-0.0851063829787234
manual,split_fixed,9.0,W008,W031,55,16,0.14545454545454545,0.23636363636363636,-0.09090909090909091
manual,split_fixed,9.0,W008,W032,52,15,0.15384615384615385,0.5,-0.34615384615384615
manual,split_fixed,9.0,W008,W033,49,14,0.16326530612244897,0.30612244897959184,-0.14285714285714285
manual,split_fixed,9.0,W008,W034,48,15,0.14583333333333334,0.4166666666666667,-0.2708333333333333
manual,split_fixed,9.0,W008,W035,45,15,0.13333333333333333,0.24444444444444444,-0.1111111111111111
manual,split_fixed,9.0,W008,W036,43,15,0.11627906976744186,0.3023255813953488,-0.18604651162790697
manual,split_fixed,9.0,W008,W037,45,15,0.13333333333333333,0.4888888888888889,-0.35555555555555557
manual,split_fixed,9.0,W010,W011,46,14,0.2826086956521739,0.17391304347826086,0.10869565217391304
manual,split_fixed,9.0,W010,W012,43,13,0.2558139534883721,0.4418604651162791,-0.18604651162790697
manual,split_fixed,9.0,W010,W013,52,14,0.2692307692307692,0.019230769230769232,0.25
manual,split_fixed,9.0,W010,W014,50,12,0.24,0.0,0.24
manual,split_fixed,9.0,W010,W015,45,14,0.28888888888888886,0.022222222222222223,0.26666666666666666
manual,split_fixed,9.0,W010,W017,53,16,0.24528301886792453,0.1509433962264151,0.09433962264150944
manual,split_fixed,9.0,W010,W018,50,12,0.22,0.14,0.08
manual,split_fixed,9.0,W010,W021,30,12,0.2,0.0,0.2
manual,split_fixed,9.0,W010,W027,43,12,0.2558139534883721,0.27906976744186046,-0.023255813953488372
manual,split_fixed,9.0,W010,W028,46,14,0.2826086956521739,0.2608695652173913,0.021739130434782608
manual,split_fixed,9.0,W010,W029,45,14,0.28888888888888886,0.2222222222222222,0.06666666666666667
manual,split_fixed,9.0,W010,W030,48,15,0.2708333333333333,0.25,0.020833333333333332
manual,split_fixed,9.0,W010,W031,48,16,0.25,0.20833333333333334,0.041666666666666664
manual,split_fixed,9.0,W010,W032,45,15,0.28888888888888886,0.4666666666666667,-0.17777777777777778
manual,split_fixed,9.0,W010,W033,46,14,0.2826086956521739,0.30434782608695654,-0.021739130434782608
manual,split_fixed,9.0,W010,W034,55,15,0.2545454545454545,0.43636363636363634,-0.18181818181818182
manual,split_fixed,9.0,W010,W035,47,14,0.2765957446808511,0.2553191489361702,0.02127659574468085
manual,split_fixed,9.0,W010,W036,43,14,0.2558139534883721,0.32558139534883723,-0.06976744186046512
manual,split_fixed,9.0,W010,W037,45,14,0.28888888888888886,0.5111111111111111,-0.2222222222222222
manual,split_fixed,9.0,W011,W012,47,14,0.1276595744680851,0.44680851063829785,-0.3191489361702128
manual,split_fixed,9.0,W011,W013,47,15,0.1702127659574468,0.02127659574468085,0.14893617021276595
manual,split_fixed,9.0,W011,W014,43,12,0.13953488372093023,0.0,0.13953488372093023
manual,split_fixed,9.0,W011,W015,56,16,0.16071428571428573,0.07142857142857142,0.08928571428571429
manual,split_fixed,9.0,W011,W017,47,15,0.1702127659574468,0.14893617021276595,0.02127659574468085
manual,split_fixed,9.0,W011,W018,41,12,0.14634146341463414,0.14634146341463414,0.0
manual,split_fixed,9.0,W011,W021,30,12,0.13333333333333333,0.0,0.13333333333333333
manual,split_fixed,9.0,W011,W027,43,12,0.11627906976744186,0.27906976744186046,-0.16279069767441862
manual,split_fixed,9.0,W011,W028,46,14,0.17391304347826086,0.2826086956521739,-0.10869565217391304
manual,split_fixed,9.0,W011,W029,47,15,0.1702127659574468,0.2127659574468085,-0.0425531914893617
manual,split_fixed,9.0,W011,W030,50,15,0.16,0.24,-0.08
manual,split_fixed,9.0,W011,W031,50,15,0.16,0.26,-0.1
manual,split_fixed,9.0,W011,W032,50,16,0.16,0.48,-0.32
manual,split_fixed,9.0,W011,W033,55,16,0.16363636363636364,0.2727272727272727,-0.10909090909090909
manual,split_fixed,9.0,W011,W034,52,15,0.15384615384615385,0.4807692307692308,-0.3269230769230769
manual,split_fixed,9.0,W011,W035,47,15,0.1702127659574468,0.2765957446808511,-0.10638297872340426
manual,split_fixed,9.0,W011,W036,45,15,0.13333333333333333,0.3111111111111111,-0.17777777777777778
manual,split_fixed,9.0,W011,W037,53,16,0.1509433962264151,0.5283018867924528,-0.37735849056603776
manual,split_fixed,9.0,W012,W013,46,15,0.43478260869565216,0.021739130434782608,0.41304347826086957
manual,split_fixed,9.0,W012,W014,41,12,0.43902439024390244,0.0,0.43902439024390244
manual,split_fixed,9.0,W012,W015,47,15,0.44680851063829785,0.0425531914893617,0.40425531914893614
manual,split_fixed,9.0,W012,W017,44,14,0.4318181818181818,0.13636363636363635,0.29545454545454547
manual,split_fixed,9.0,W012,W018,39,12,0.4358974358974359,0.1282051282051282,0.3076923076923077
manual,split_fixed,9.0,W012,W021,30,12,0.43333333333333335,0.0,0.43333333333333335
manual,split_fixed,9.0,W012,W027,49,12,0.5306122448979592,0.32653061224489793,0.20408163265306123
manual,split_fixed,9.0,W012,W028,45,13,0.4666666666666667,0.26666666666666666,0.2
manual,split_fixed,9.0,W012,W029,47,14,0.44680851063829785,0.23404255319148937,0.2127659574468085
manual,split_fixed,9.0,W012,W030,53,15,0.49056603773584906,0.22641509433962265,0.2641509433962264
manual,split_fixed,9.0,W012,W031,45,14,0.4222222222222222,0.2222222222222222,0.2
manual,split_fixed,9.0,W012,W032,44,14,0.45454545454545453,0.4318181818181818,0.022727272727272728
manual,split_fixed,9.0,W012,W033,45,13,0.4444444444444444,0.28888888888888886,0.15555555555555556
manual,split_fixed,9.0,W012,W034,48,15,0.4375,0.4791666666666667,-0.041666666666666664
manual,split_fixed,9.0,W012,W035,45,14,0.4444444444444444,0.24444444444444444,0.2
manual,split_fixed,9.0,W012,W036,46,14,0.43478260869565216,0.32608695652173914,0.10869565217391304
manual,split_fixed,9.0,W012,W037,46,14,0.43478260869565216,0.5217391304347826,-0.08695652173913043
manual,split_fixed,9.0,W013,W014,54,12,0.018518518518518517,0.0,0.018518518518518517
manual,split_fixed,9.0,W013,W015,47,16,0.02127659574468085,0.02127659574468085,0.0
manual,split_fixed,9.0,W013,W017,46,15,0.021739130434782608,0.13043478260869565,-0.10869565217391304
manual,split_fixed,9.0,W013,W018,51,12,0.0196078431372549,0.17647058823529413,-0.1568627450980392
manual,split_fixed,9.0,W013,W021,30,12,0.0,0.0,0.0
manual,split_fixed,9.0,W013,W027,43,12,0.023255813953488372,0.3023255813953488,-0.27906976744186046
manual,split_fixed,9.0,W013,W028,46,14,0.021739130434782608,0.2608695652173913,-0.2391304347826087
manual,split_fixed,9.0,W013,W029,49,15,0.02040816326530612,0.20408163265306123,-0.1836734693877551
manual,split_fixed,9.0,W013,W030,48,15,0.020833333333333332,0.25,-0.22916666666666666
manual,split_fixed,9.0,W013,W031,47,15,0.02127659574468085,0.23404255319148937,-0.2127659574468085
manual,split_fixed,9.0,W013,W032,46,15,0.021739130434782608,0.45652173913043476,-0.43478260869565216
manual,split_fixed,9.0,W013,W033,46,14,0.021739130434782608,0.2826086956521739,-0.2608695652173913
manual,split_fixed,9.0,W013,W034,57,15,0.017543859649122806,0.43859649122807015,-0.42105263157894735
manual,split_fixed,9.0,W013,W035,54,15,0.018518518518518517,0.24074074074074073,-0.2222222222222222
manual,split_fixed,9.0,W013,W036,44,15,0.022727272727272728,0.3181818181818182,-0.29545454545454547
manual,split_fixed,9.0,W013,W037,46,15,0.021739130434782608,0.5,-0.4782608695652174
manual,split_fixed,9.0,W014,W015,42,12,0.0,0.023809523809523808,-0.023809523809523808
manual,split_fixed,9.0,W014,W017,43,12,0.0,0.13953488372093023,-0.13953488372093023
manual,split_fixed,9.0,W014,W018,53,12,0.0,0.18867924528301888,-0.18867924528301888
manual,split_fixed,9.0,W014,W021,30,12,0.0,0.0,0.0
manual,split_fixed,9.0,W014,W027,42,12,0.0,0.2857142857142857,-0.2857142857142857
manual,split_fixed,9.0,W014,W028,43,12,0.0,0.2558139534883721,-0.2558139534883721
manual,split_fixed,9.0,W014,W029,44,12,0.0,0.22727272727272727,-0.22727272727272727
manual,split_fixed,9.0,W014,W030,43,12,0.0,0.20930232558139536,-0.20930232558139536
manual,split_fixed,9.0,W014,W031,43,12,0.0,0.20930232558139536,-0.20930232558139536
manual,split_fixed,9.0,W014,W032,43,12,0.0,0.46511627906976744,-0.46511627906976744
manual,split_fixed,9.0,W014,W033,41,11,0.0,0.3170731707317073,-0.3170731707317073
manual,split_fixed,9.0,W014,W034,55,12,0.0,0.45454545454545453,-0.45454545454545453
manual,split_fixed,9.0,W014,W035,48,12,0.0,0.25,-0.25
manual,split_fixed,9.0,W014,W036,40,12,0.0,0.3,-0.3
manual,split_fixed,9.0,W014,W037,42,12,0.0,0.5476190476190477,-0.5476190476190477
manual,split_fixed,9.0,W015,W017,46,15,0.021739130434782608,0.13043478260869565,-0.10869565217391304
manual,split_fixed,9.0,W015,W018,40,12,0.0,0.125,-0.125
manual,split_fixed,9.0,W015,W021,30,12,0.03333333333333333,0.0,0.03333333333333333
manual,split_fixed,9.0,W015,W027,44,12,0.022727272727272728,0.2727272727272727,-0.25
manual,split_fixed,9.0,W015,W028,47,14,0.02127659574468085,0.2765957446808511,-0.2553191489361702
manual,split_fixed,9.0,W015,W029,47,15,0.02127659574468085,0.2127659574468085,-0.19148936170212766
manual,split_fixed,9.0,W015,W030,48,15,0.020833333333333332,0.22916666666666666,-0.20833333333333334
manual,split_fixed,9.0,W015,W031,47,15,0.0425531914893617,0.23404255319148937,-0.19148936170212766
manual,split_fixed,9.0,W015,W032,50,16,0.04,0.44,-0.4
manual,split_fixed,9.0,W015,W033,51,16,0.058823529411764705,0.27450980392156865,-0.21568627450980393
manual,split_fixed,9.0,W015,W034,54,15,0.05555555555555555,0.46296296296296297,-0.4074074074074074
manual,split_fixed,9.0,W015,W035,45,15,0.022222222222222223,0.24444444444444444,-0.2222222222222222
manual,split_fixed,9.0,W015,W036,46,15,0.021739130434782608,0.30434782608695654,-0.2826086956521739
manual,split_fixed,9.0,W015,W037,55,16,0.03636363636363636,0.4909090909090909,-0.45454545454545453
manual,split_fixed,9.0,W017,W018,43,12,0.11627906976744186,0.13953488372093023,-0.023255813953488372
manual,split_fixed,9.0,W017,W021,30,12,0.2,0.0,0.2
manual,split_fixed,9.0,W017,W027,42,12,0.14285714285714285,0.2857142857142857,-0.14285714285714285
manual,split_fixed,9.0,W017,W028,46,14,0.13043478260869565,0.2826086956521739,-0.15217391304347827
manual,split_fixed,9.0,W017,W029,48,15,0.125,0.22916666666666666,-0.10416666666666667
manual,split_fixed,9.0,W017,W030,49,15,0.16326530612244897,0.24489795918367346,-0.08163265306122448
manual,split_fixed,9.0,W017,W031,55,16,0.14545454545454545,0.2545454545454545,-0.10909090909090909
manual,split_fixed,9.0,W017,W032,52,15,0.17307692307692307,0.5,-0.3269230769230769
manual,split_fixed,9.0,W017,W033,51,14,0.17647058823529413,0.3137254901960784,-0.13725490196078433
manual,split_fixed,9.0,W017,W034,51,15,0.1568627450980392,0.45098039215686275,-0.29411764705882354
manual,split_fixed,9.0,W017,W035,45,15,0.1111111111111111,0.24444444444444444,-0.13333333333333333
manual,split_fixed,9.0,W017,W036,45,15,0.1111111111111111,0.3333333333333333,-0.2222222222222222
manual,split_fixed,9.0,W017,W037,46,15,0.13043478260869565,0.5,-0.3695652173913043
manual,split_fixed,9.0,W018,W021,28,12,0.17857142857142858,0.0,0.17857142857142858
manual,split_fixed,9.0,W018,W027,40,12,0.125,0.275,-0.15
manual,split_fixed,9.0,W018,W028,40,12,0.125,0.25,-0.125
manual,split_fixed,9.0,W018,W029,41,12,0.14634146341463414,0.24390243902439024,-0.0975609756097561
manual,split_fixed,9.0,W018,W030,41,12,0.14634146341463414,0.1951219512195122,-0.04878048780487805
manual,split_fixed,9.0,W018,W031,42,12,0.14285714285714285,0.19047619047619047,-0.047619047619047616
manual,split_fixed,9.0,W018,W032,42,12,0.14285714285714285,0.4523809523809524,-0.30952380952380953
manual,split_fixed,9.0,W018,W033,39,11,0.1282051282051282,0.3076923076923077,-0.1794871794871795
manual,split_fixed,9.0,W018,W034,53,12,0.16981132075471697,0.4339622641509434,-0.2641509433962264
manual,split_fixed,9.0,W018,W035,45,12,0.2,0.24444444444444444,-0.044444444444444446
manual,split_fixed,9.0,W018,W036,38,12,0.10526315789473684,0.2894736842105263,-0.18421052631578946
manual,split_fixed,9.0,W018,W037,40,12,0.125,0.525,-0.4
manual,split_fixed,9.0,W021,W027,30,12,0.0,0.16666666666666666,-0.16666666666666666
manual,split_fixed,9.0,W021,W028,30,12,0.0,0.23333333333333334,-0.23333333333333334
manual,split_fixed,9.0,W021,W029,30,12,0.0,0.16666666666666666,-0.16666666666666666
manual,split_fixed,9.0,W021,W030,30,12,0.0,0.23333333333333334,-0.23333333333333334
manual,split_fixed,9.0,W021,W031,29,12,0.0,0.20689655172413793,-0.20689655172413793
manual,split_fixed,9.0,W021,W032,29,12,0.0,0.41379310344827586,-0.41379310344827586
manual,split_fixed,9.0,W021,W033,29,11,0.0,0.3793103448275862,-0.3793103448275862
manual,split_fixed,9.0,W021,W034,30,12,0.0,0.5,-0.5
manual,split_fixed,9.0,W021,W035,29,12,0.0,0.2413793103448276,-0.2413793103448276
manual,split_fixed,9.0,W021,W036,28,12,0.0,0.21428571428571427,-0.21428571428571427
manual,split_fixed,9.0,W021,W037,30,12,0.0,0.5333333333333333,-0.5333333333333333
manual,split_fixed,9.0,W027,W028,51,12,0.3137254901960784,0.29411764705882354,0.0196078431372549
manual,split_fixed,9.0,W027,W029,49,12,0.3469387755102041,0.2653061224489796,0.08163265306122448
manual,split_fixed,9.0,W027,W030,52,12,0.3269230769230769,0.2692307692307692,0.057692307692307696
manual,split_fixed,9.0,W027,W031,44,12,0.29545454545454547,0.25,0.045454545454545456
manual,split_fixed,9.0,W027,W032,42,12,0.2857142857142857,0.4523809523809524,-0.16666666666666666
manual,split_fixed,9.0,W027,W033,42,11,0.2857142857142857,0.30952380952380953,-0.023809523809523808
manual,split_fixed,9.0,W027,W034,42,12,0.2857142857142857,0.4523809523809524,-0.16666666666666666
manual,split_fixed,9.0,W027,W035,46,12,0.30434782608695654,0.2608695652173913,0.043478260869565216
manual,split_fixed,9.0,W027,W036,49,12,0.32653061224489793,0.32653061224489793,0.0
manual,split_fixed,9.0,W027,W037,42,12,0.2857142857142857,0.5476190476190477,-0.2619047619047619
manual,split_fixed,9.0,W028,W029,57,15,0.3157894736842105,0.24561403508771928,0.07017543859649122
manual,split_fixed,9.0,W028,W030,49,14,0.2653061224489796,0.2653061224489796,0.0
manual,split_fixed,9.0,W028,W031,47,14,0.2553191489361702,0.2127659574468085,0.0425531914893617
manual,split_fixed,9.0,W028,W032,46,15,0.2826086956521739,0.45652173913043476,-0.17391304347826086
manual,split_fixed,9.0,W028,W033,44,13,0.25,0.29545454545454547,-0.045454545454545456
manual,split_fixed,9.0,W028,W034,47,14,0.2553191489361702,0.425531914893617,-0.1702127659574468
manual,split_fixed,9.0,W028,W035,50,14,0.28,0.24,0.04
manual,split_fixed,9.0,W028,W036,55,15,0.34545454545454546,0.34545454545454546,0.0
manual,split_fixed,9.0,W028,W037,47,15,0.2765957446808511,0.5106382978723404,-0.23404255319148937
manual,split_fixed,9.0,W029,W030,48,15,0.22916666666666666,0.2708333333333333,-0.041666666666666664
manual,split_fixed,9.0,W029,W031,48,15,0.20833333333333334,0.22916666666666666,-0.020833333333333332
manual,split_fixed,9.0,W029,W032,47,16,0.23404255319148937,0.46808510638297873,-0.23404255319148937
manual,split_fixed,9.0,W029,W033,47,14,0.2127659574468085,0.2765957446808511,-0.06382978723404255
manual,split_fixed,9.0,W029,W034,49,15,0.20408163265306123,0.42857142857142855,-0.22448979591836735
manual,split_fixed,9.0,W029,W035,54,15,0.2222222222222222,0.24074074074074073,-0.018518518518518517
manual,split_fixed,9.0,W029,W036,55,16,0.2545454545454545,0.36363636363636365,-0.10909090909090909
manual,split_fixed,9.0,W029,W037,47,16,0.23404255319148937,0.5106382978723404,-0.2765957446808511
manual,split_fixed,9.0,W030,W031,50,15,0.26,0.26,0.0
manual,split_fixed,9.0,W030,W032,48,15,0.22916666666666666,0.4791666666666667,-0.25
manual,split_fixed,9.0,W030,W033,49,14,0.22448979591836735,0.2653061224489796,-0.04081632653061224
manual,split_fixed,9.0,W030,W034,49,16,0.24489795918367346,0.46938775510204084,-0.22448979591836735
manual,split_fixed,9.0,W030,W035,49,15,0.2857142857142857,0.2653061224489796,0.02040816326530612
manual,split_fixed,9.0,W030,W036,48,15,0.25,0.3333333333333333,-0.08333333333333333
