k,workers,contexts,buildings,P1_manual,P1_semi,C1_manual
15,1;2;6;8;10;11;12;13;15;17;28;30;31;32;33,61,14,24,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;32;34,61,14,24,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;32;35,61,14,24,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;32;36,61,14,24,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;32;37,57,14,24,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;33;34,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;33;35,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;33;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;33;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;34;35,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;34;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;34;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;35;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;35;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;31;36;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;33;34,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;33;35,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;33;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;33;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;34;35,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;34;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;34;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;35;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;35;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;32;36;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;33;34;35,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;33;34;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;33;34;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;33;35;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;33;35;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;33;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;34;35;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;30;34;35;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;34;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;30;35;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;33;34,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;33;35,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;33;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;33;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;34;35,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;34;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;34;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;35;36,62,14,25,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;35;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;32;36;37,58,14,25,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;33;34;35,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;33;34;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;33;34;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;33;35;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;33;35;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;33;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;34;35;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;31;34;35;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;34;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;31;35;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;32;33;34;35,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;32;33;34;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;32;33;34;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;32;33;35;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;32;33;35;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;32;33;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;32;34;35;36,63,14,26,16,12
15,1;2;6;8;10;11;12;13;15;17;28;32;34;35;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;32;34;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;32;35;36;37,59,14,26,15,12
15,1;2;6;8;10;11;12;13;15;17;28;33;34;35;36,64,14,27,16,12
15,1;2;6;8;10;11;12;13;15;17;28;33;34;35;37,60,14,27,15,12
15,1;2;6;8;10;11;12;13;15;17;28;33;34;36;37,60,14,27,15,12
15,1;2;6;8;10;11;12;13;15;17;28;33;35;36;37,60,14,27,15,12
15,1;2;6;8;10;11;12;13;15;17;28;34;35;36;37,60,14,27,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;32;33,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;32;34,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;32;35,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;32;36,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;32;37,58,15,24,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;33;34,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;33;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;33;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;33;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;34;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;34;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;34;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;31;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;33;34,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;33;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;33;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;33;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;34;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;34;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;34;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;32;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;33;34;35,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;33;34;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;33;34;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;33;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;33;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;33;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;34;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;30;34;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;34;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;30;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;33;34,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;33;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;33;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;33;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;34;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;34;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;34;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;32;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;33;34;35,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;33;34;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;33;34;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;33;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;33;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;33;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;34;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;31;34;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;34;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;31;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;32;33;34;35,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;32;33;34;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;32;33;34;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;32;33;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;32;33;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;32;33;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;32;34;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;29;32;34;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;32;34;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;32;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;29;33;34;35;36,65,15,27,16,12
15,1;2;6;8;10;11;12;13;15;17;29;33;34;35;37,61,15,27,15,12
15,1;2;6;8;10;11;12;13;15;17;29;33;34;36;37,61,15,27,15,12
15,1;2;6;8;10;11;12;13;15;17;29;33;35;36;37,61,15,27,15,12
15,1;2;6;8;10;11;12;13;15;17;29;34;35;36;37,61,15,27,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;33;34,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;33;35,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;33;36,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;33;37,58,15,24,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;34;35,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;34;36,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;34;37,58,15,24,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;35;36,62,15,24,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;35;37,58,15,24,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;32;36;37,58,15,24,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;33;34;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;33;34;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;33;34;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;33;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;33;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;33;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;34;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;31;34;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;34;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;31;35;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;32;33;34;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;32;33;34;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;32;33;34;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;32;33;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;32;33;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;32;33;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;32;34;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;30;32;34;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;32;34;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;32;35;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;30;33;34;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;30;33;34;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;30;33;34;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;30;33;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;30;34;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;31;32;33;34;35,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;31;32;33;34;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;31;32;33;34;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;31;32;33;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;31;32;33;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;31;32;33;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;31;32;34;35;36,63,15,25,16,12
15,1;2;6;8;10;11;12;13;15;17;31;32;34;35;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;31;32;34;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;31;32;35;36;37,59,15,25,15,12
15,1;2;6;8;10;11;12;13;15;17;31;33;34;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;31;33;34;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;31;33;34;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;31;33;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;31;34;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;32;33;34;35;36,64,15,26,16,12
15,1;2;6;8;10;11;12;13;15;17;32;33;34;35;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;32;33;34;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;32;33;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;32;34;35;36;37,60,15,26,15,12
15,1;2;6;8;10;11;12;13;15;17;33;34;35;36;37,61,15,27,15,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;32;33,63,14,24,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;32;34,63,14,24,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;32;35,63,14,24,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;32;36,62,14,24,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;32;37,59,14,24,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;33;34,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;33;35,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;33;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;33;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;34;35,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;34;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;34;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;35;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;35;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;31;36;37,59,14,25,16,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;33;34,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;33;35,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;33;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;33;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;34;35,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;34;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;34;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;35;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;35;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;32;36;37,59,14,25,16,12
15,1;2;6;8;10;11;12;13;15;28;29;30;33;34;35,65,14,26,18,12
15,1;2;6;8;10;11;12;13;15;28;29;30;33;34;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;33;34;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;33;35;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;33;35;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;33;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;30;34;35;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;34;35;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;30;34;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;30;35;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;33;34,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;33;35,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;33;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;33;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;34;35,64,14,25,18,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;34;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;34;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;35;36,63,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;35;37,60,14,25,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;32;36;37,59,14,25,16,12
15,1;2;6;8;10;11;12;13;15;28;29;31;33;34;35,65,14,26,18,12
15,1;2;6;8;10;11;12;13;15;28;29;31;33;34;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;33;34;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;33;35;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;33;35;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;33;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;31;34;35;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;34;35;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;31;34;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;31;35;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;32;33;34;35,65,14,26,18,12
15,1;2;6;8;10;11;12;13;15;28;29;32;33;34;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;32;33;34;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;32;33;35;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;32;33;35;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;32;33;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;32;34;35;36,64,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;32;34;35;37,61,14,26,17,12
15,1;2;6;8;10;11;12;13;15;28;29;32;34;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;32;35;36;37,60,14,26,16,12
15,1;2;6;8;10;11;12;13;15;28;29;33;34;35;36,65,14,27,17,12
15,1;2;6;8;10;11;12;13;15;28;29;33;34;35;37,62,14,27,17,12
15,1;2;6;8;10;11;12;13;15;28;29;33;34;36;37,61,14,27,16,12
15,1;2;6;8;10;11;12;13;15;28;29;33;35;36;37,61,14,27,16,12
15,1;2;6;8;10;11;12;13;15;28;29;34;35;36;37,61,14,27,16,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;33;34,63,14,24,18,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;33;35,63,14,24,18,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;33;36,62,14,24,17,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;33;37,59,14,24,17,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;34;35,63,14,24,18,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;34;36,62,14,24,17,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;34;37,59,14,24,17,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;35;36,62,14,24,17,12
15,1;2;6;8;10;11;12;13;15;28;30;31;32;35;37,59,14,24,17,12
