LOCAL dinov3__block3__faces_local96
LOCAL dinov3__block6__faces_local96
LOCAL dinov3__block9__faces_local96
LOCAL dinov3__block11__faces_local96
LOCAL dinov3__block12__faces_local96
LOCAL da3__layer5__faces_local96
LOCAL da3__layer7__faces_local96
LOCAL da3__layer9__faces_local96
LOCAL da3__layer11__faces_local96
CV False ('hohonet__encoder_stage2__global', 'cached')
CV False ('dinov3__block12__panorama_global', 'cached')
CV False ('dinov3__block12__panorama_local16', 'cached')
CV False ('dinov3__block12__panorama_mean', 'cached')
CV False ('dinov3__block12__faces_global', 'cached')
CV False ('dinov3__block12__faces_local16', 'cached')
CV False ('dinov3__block12__faces_concat', 'cached')
CV False ('dinov3__cls__panorama', 'cached')
CV False ('dinov3__cls__faces_global', 'cached')
CV False ('dinov3__cls__faces_concat', 'cached')
CV False ('da3__layer5__faces_global', 'cached')
CV False ('da3__layer5__faces_local16', 'cached')
CV False ('da3__layer5__faces_concat', 'cached')
CV False ('da3__layer7__faces_global', 'cached')
CV False ('da3__layer7__faces_local16', 'cached')
CV False ('da3__layer7__faces_concat', 'cached')
CV False ('da3__layer9__faces_global', 'cached')
CV False ('da3__layer9__faces_local16', 'cached')
CV False ('da3__layer9__faces_concat', 'cached')
CV False ('da3__layer11__faces_global', 'cached')
CV False ('da3__layer11__faces_local16', 'cached')
CV False ('da3__layer11__faces_concat', 'cached')
CV False ('feedback__all', 'cached')
CV False ('feedback__point_counts', 'cached')
CV False ('feedback__between_models', 'cached')
CV False ('feedback__rotation', 'cached')
CV False ('feedback__bi_scope', 'cached')
CV False ('feedback__da3', 'cached')
CV False ('dinov3__block3__faces_local96', 19.97)
CV False ('dinov3__block6__faces_local96', 20.18)
CV False ('dinov3__block9__faces_local96', 19.02)
CV False ('dinov3__block11__faces_local96', 19.16)
CV False ('dinov3__block12__faces_local96', 19.43)
CV False ('da3__layer5__faces_local96', 19.49)
CV False ('da3__layer9__faces_local96', 19.48)
CV False ('da3__layer7__faces_local96', 19.91)
CV False ('semantic__main_keywords', 'cached')
CV False ('semantic__position_keywords', 'cached')
CV False ('semantic__ai_fine_functions', 'cached')
CV False ('semantic__coarse', 'cached')
CV False ('semantic__main_primary', 'cached')
CV False ('semantic__traits', 'cached')
CV False ('semantic__traits_recheck', 'cached')
CV False ('semantic__main_text', 'cached')
CV False ('da3__layer11__faces_local96', 19.29)
CV True ('hohonet__encoder_stage2__regions', 'cached')
CV True ('hohonet__encoder_stage2__global', 'cached')
CV True ('hohonet__encoder_stage4__global', 'cached')
CV True ('hohonet__encoder_stage4__regions', 'cached')
CV True ('hohonet__compressed__global', 'cached')
CV True ('hohonet__compressed__regions', 'cached')
CV True ('hohonet__refined__global', 'cached')
CV True ('hohonet__refined__regions', 'cached')
CV True ('hohonet__shared__global', 'cached')
CV True ('hohonet__shared__regions', 'cached')
CV True ('hohonet__legacy_current', 'cached')
CV True ('bilayout__fc__global', 'cached')
CV True ('bilayout__fc__regions', 'cached')
CV True ('bilayout__fg_enclosed__global', 'cached')
CV True ('bilayout__fg_enclosed__regions', 'cached')
CV True ('bilayout__fg_extended__global', 'cached')
CV True ('bilayout__fg_extended__regions', 'cached')
CV True ('ulayout__compressed__global', 'cached')
CV True ('ulayout__compressed__local16', 'cached')
CV True ('ulayout__transformer__global', 'cached')
CV True ('ulayout__transformer__local16', 'cached')
CV True ('dinov3__block3__panorama_global', 'cached')
CV True ('dinov3__block3__panorama_local16', 'cached')
CV True ('dinov3__block3__panorama_mean', 'cached')
CV True ('dinov3__block3__faces_global', 'cached')
CV True ('dinov3__block3__faces_local16', 'cached')
CV True ('dinov3__block3__faces_concat', 'cached')
CV True ('dinov3__block6__panorama_global', 'cached')
CV True ('dinov3__block6__panorama_local16', 'cached')
CV True ('dinov3__block6__panorama_mean', 'cached')
CV True ('dinov3__block6__faces_global', 'cached')
CV True ('dinov3__block6__faces_local16', 'cached')
CV True ('dinov3__block6__faces_concat', 'cached')
CV True ('dinov3__block9__panorama_global', 'cached')
CV True ('dinov3__block9__panorama_local16', 'cached')
CV True ('dinov3__block9__panorama_mean', 'cached')
CV True ('dinov3__block9__faces_global', 'cached')
CV True ('dinov3__block9__faces_local16', 'cached')
CV True ('dinov3__block9__faces_concat', 'cached')
CV True ('dinov3__block11__panorama_global', 'cached')
CV True ('dinov3__block11__panorama_local16', 'cached')
CV True ('dinov3__block11__panorama_mean', 'cached')
CV True ('dinov3__block11__faces_global', 'cached')
CV True ('dinov3__block11__faces_local16', 'cached')
CV True ('dinov3__block11__faces_concat', 'cached')
CV True ('dinov3__block12__panorama_global', 'cached')
CV True ('dinov3__block12__panorama_local16', 'cached')
CV True ('dinov3__block12__panorama_mean', 'cached')
CV True ('dinov3__block12__faces_global', 'cached')
CV True ('dinov3__block12__faces_local16', 'cached')
CV True ('dinov3__block12__faces_concat', 'cached')
CV True ('dinov3__cls__panorama', 'cached')
CV True ('dinov3__cls__faces_global', 'cached')
CV True ('dinov3__cls__faces_concat', 'cached')
CV True ('da3__layer5__faces_global', 'cached')
CV True ('da3__layer5__faces_local16', 'cached')
CV True ('da3__layer5__faces_concat', 'cached')
CV True ('da3__layer7__faces_global', 'cached')
CV True ('da3__layer7__faces_local16', 'cached')
CV True ('da3__layer7__faces_concat', 'cached')
CV True ('da3__layer9__faces_global', 'cached')
CV True ('da3__layer9__faces_local16', 'cached')
CV True ('da3__layer9__faces_concat', 'cached')
CV True ('da3__layer11__faces_global', 'cached')
CV True ('da3__layer11__faces_local16', 'cached')
CV True ('da3__layer11__faces_concat', 'cached')
CV True ('feedback__all', 'cached')
CV True ('feedback__point_counts', 'cached')
CV True ('feedback__rotation', 'cached')
CV True ('feedback__between_models', 'cached')
CV True ('feedback__bi_scope', 'cached')
CV True ('feedback__da3', 'cached')
CV True ('dinov3__block3__faces_local96', 1.44)
CV True ('dinov3__block6__faces_local96', 1.47)
CV True ('dinov3__block9__faces_local96', 1.37)
CV True ('dinov3__block11__faces_local96', 1.36)
CV True ('dinov3__block12__faces_local96', 1.39)
CV True ('da3__layer5__faces_local96', 1.37)
CV True ('da3__layer7__faces_local96', 1.2)
CV True ('da3__layer9__faces_local96', 1.23)
CV True ('semantic__main_keywords', 'cached')
CV True ('semantic__position_keywords', 'cached')
CV True ('semantic__ai_fine_functions', 'cached')
CV True ('semantic__coarse', 'cached')
CV True ('semantic__main_primary', 'cached')
CV True ('semantic__traits', 'cached')
CV True ('semantic__traits_recheck', 'cached')
CV True ('semantic__main_text', 'cached')
CV True ('da3__layer11__faces_local96', 1.28)
CV True ('hohonet__encoder_stage2__regions', 'cached')
CV True ('hohonet__encoder_stage2__global', 'cached')
CV True ('hohonet__encoder_stage4__global', 'cached')
CV True ('hohonet__encoder_stage4__regions', 'cached')
CV True ('hohonet__compressed__global', 'cached')
CV True ('hohonet__compressed__regions', 'cached')
CV True ('hohonet__refined__global', 'cached')
CV True ('hohonet__refined__regions', 'cached')
CV True ('hohonet__shared__global', 'cached')
CV True ('hohonet__shared__regions', 'cached')
CV True ('hohonet__legacy_current', 'cached')
CV True ('bilayout__fc__global', 'cached')
CV True ('bilayout__fc__regions', 'cached')
CV True ('bilayout__fg_enclosed__global', 'cached')
CV True ('bilayout__fg_enclosed__regions', 'cached')
CV True ('bilayout__fg_extended__global', 'cached')
CV True ('bilayout__fg_extended__regions', 'cached')
CV True ('ulayout__compressed__global', 'cached')
CV True ('ulayout__compressed__local16', 'cached')
CV True ('ulayout__transformer__global', 'cached')
CV True ('dinov3__block3__panorama_global', 'cached')
CV True ('ulayout__transformer__local16', 'cached')
CV True ('dinov3__block3__panorama_local16', 'cached')
CV True ('dinov3__block3__panorama_mean', 'cached')
CV True ('dinov3__block3__faces_global', 'cached')
CV True ('dinov3__block3__faces_local16', 'cached')
CV True ('dinov3__block6__panorama_global', 'cached')
CV True ('dinov3__block3__faces_concat', 'cached')
CV True ('dinov3__block6__panorama_local16', 'cached')
CV True ('dinov3__block6__panorama_mean', 'cached')
CV True ('dinov3__block6__faces_global', 'cached')
CV True ('dinov3__block6__faces_local16', 'cached')
CV True ('dinov3__block6__faces_concat', 'cached')
CV True ('dinov3__block9__panorama_global', 'cached')
CV True ('dinov3__block9__panorama_local16', 'cached')
CV True ('dinov3__block9__panorama_mean', 'cached')
CV True ('dinov3__block9__faces_global', 'cached')
CV True ('dinov3__block9__faces_local16', 'cached')
CV True ('dinov3__block9__faces_concat', 'cached')
CV True ('dinov3__block11__panorama_global', 'cached')
CV True ('dinov3__block11__panorama_local16', 'cached')
CV True ('dinov3__block11__panorama_mean', 'cached')
CV True ('dinov3__block11__faces_global', 'cached')
CV True ('dinov3__block11__faces_local16', 'cached')
CV True ('dinov3__block11__faces_concat', 'cached')
CV True ('dinov3__block12__panorama_global', 'cached')
CV True ('dinov3__block12__panorama_local16', 'cached')
CV True ('dinov3__block12__panorama_mean', 'cached')
CV True ('dinov3__block12__faces_global', 'cached')
CV True ('dinov3__block12__faces_local16', 'cached')
CV True ('dinov3__block12__faces_concat', 'cached')
CV True ('dinov3__cls__panorama', 'cached')
CV True ('dinov3__cls__faces_global', 'cached')
CV True ('dinov3__cls__faces_concat', 'cached')
CV True ('da3__layer5__faces_global', 'cached')
CV True ('da3__layer5__faces_local16', 'cached')
CV True ('da3__layer5__faces_concat', 'cached')
CV True ('da3__layer7__faces_global', 'cached')
CV True ('da3__layer7__faces_local16', 'cached')
CV True ('da3__layer7__faces_concat', 'cached')
CV True ('da3__layer9__faces_global', 'cached')
CV True ('da3__layer9__faces_local16', 'cached')
CV True ('da3__layer9__faces_concat', 'cached')
CV True ('da3__layer11__faces_global', 'cached')
CV True ('da3__layer11__faces_local16', 'cached')
CV True ('da3__layer11__faces_concat', 'cached')
CV True ('feedback__all', 'cached')
CV True ('feedback__point_counts', 'cached')
CV True ('feedback__rotation', 'cached')
CV True ('feedback__between_models', 'cached')
CV True ('feedback__bi_scope', 'cached')
CV True ('feedback__da3', 'cached')
CV True ('dinov3__block6__faces_local96', 1.48)
CV True ('dinov3__block3__faces_local96', 1.58)
CV True ('dinov3__block9__faces_local96', 1.26)
CV True ('dinov3__block11__faces_local96', 1.3)
CV True ('dinov3__block12__faces_local96', 1.39)
CV True ('da3__layer5__faces_local96', 1.39)
CV True ('da3__layer7__faces_local96', 1.31)
CV True ('da3__layer9__faces_local96', 1.32)
CV True ('semantic__main_keywords', 'cached')
CV True ('semantic__position_keywords', 'cached')
CV True ('semantic__ai_fine_functions', 'cached')
CV True ('semantic__coarse', 'cached')
CV True ('semantic__main_primary', 'cached')
CV True ('semantic__traits', 'cached')
CV True ('semantic__traits_recheck', 'cached')
CV True ('semantic__main_text', 'cached')
CV True ('da3__layer11__faces_local96', 1.26)
SELECTED pooled 5724
SELECTED within_coarse 5724
SELECTED within_main 5724
       design                      feature  rps_mean  accuracy  balanced_accuracy
       pooled             baseline__coarse  0.111046  0.773585           0.804878
       pooled        baseline__coarse_main  0.102875  0.773585           0.804878
       pooled               baseline__fine  0.157959  0.566038           0.562500
       pooled             baseline__global  0.205847  0.462264           0.333333
       pooled        baseline__human_focus  0.208424  0.462264           0.333333
       pooled               baseline__main  0.100002  0.811321           0.837398
       pooled         selected__all_models  0.104677  0.754717           0.796582
       pooled           selected__bilayout  0.109891  0.773585           0.816824
       pooled                selected__da3  0.103996  0.773585           0.811515
       pooled             selected__dinov3  0.121150  0.698113           0.715001
       pooled           selected__existing  0.088423  0.811321           0.837398
       pooled selected__existing_plus_dino  0.096513  0.783019           0.816990
       pooled           selected__feedback  0.080572  0.811321           0.837398
       pooled            selected__hohonet  0.107554  0.735849           0.754915
       pooled           selected__semantic  0.093260  0.811321           0.837398
       pooled            selected__ulayout  0.114264  0.745283           0.777076
within_coarse         selected__all_models  0.078774  0.792453           0.797059
within_coarse           selected__bilayout  0.096756  0.764151           0.734559
within_coarse                selected__da3  0.129514  0.698113           0.684285
within_coarse             selected__dinov3  0.112298  0.669811           0.701987
within_coarse           selected__existing  0.077125  0.792453           0.784356
within_coarse           selected__feedback  0.079921  0.783019           0.762195
within_coarse            selected__hohonet  0.119719  0.726415           0.749440
within_coarse           selected__semantic  0.133171  0.688679           0.701562
within_coarse            selected__ulayout  0.114055  0.679245           0.670680
  within_main         selected__all_models  0.069817  0.839623           0.836382
  within_main           selected__bilayout  0.089004  0.811321           0.773882
  within_main                selected__da3  0.113865  0.764151           0.737214
  within_main             selected__dinov3  0.104280  0.707547           0.734507
  within_main           selected__existing  0.068168  0.839623           0.823679
  within_main           selected__feedback  0.073856  0.820755           0.794715
  within_main            selected__hohonet  0.100182  0.783019           0.794238
  within_main           selected__semantic  0.130900  0.716981           0.727279
  within_main            selected__ulayout  0.105886  0.726415           0.710003
CONTRASTS DONE
