cohort,image_id,config,h,last_k,old_possible,old_guaranteed,old_status,support_separated_possible,support_separated_guaranteed,support_separated_status,status_changed,possible_changed,interpretation
with_workers,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ospa30_t6,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,ospa30_t6,1,3,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,q_0.950,1,3,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,ospa30_t6,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,q_0.950,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,ospa30_t6,1,3,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,q_0.950,1,3,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,ospa30_t6,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
with_workers,zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,q_0.950,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ospa30_t6,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,q_0.950,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,ospa30_t6,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,q_0.950,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,ospa30_t6,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,q_0.950,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,1,23,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,5,19,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.950,1,23,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.950,5,19,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,ospa30_t6,1,23,9,9,identified,9,9,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,ospa30_t6,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,q_0.950,1,23,9,9,identified,9,9,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,q_0.950,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,ospa30_t6,1,23,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,ospa30_t6,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,q_0.950,1,23,9,,upper_unknown,9,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,q_0.950,5,19,13,,upper_unknown,13,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,ospa30_t6,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,q_0.950,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,ospa30_t6,1,5,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,ospa30_t6,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,q_0.950,1,5,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,q_0.950,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,ospa30_t6,1,5,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,ospa30_t6,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,q_0.950,1,5,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,q_0.950,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,ospa30_t6,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,q_0.950,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,ospa30_t6,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,q_0.950,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,ospa30_t6,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,q_0.950,1,4,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,ospa30_t6,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,q_0.950,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,ospa30_t6,1,23,6,6,identified,6,6,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,ospa30_t6,5,19,15,15,identified,15,15,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,q_0.950,1,23,6,10,finite_interval,6,10,finite_interval,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,q_0.950,5,19,14,17,finite_interval,14,17,finite_interval,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,ospa30_t6,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,q_0.950,1,4,4,4,identified,4,4,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,ospa30_t6,1,4,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,q_0.950,1,4,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,ospa30_t6,1,23,1,22,finite_interval,3,22,finite_interval,False,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,ospa30_t6,5,19,8,,upper_unknown,8,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,q_0.950,1,23,1,,upper_unknown,2,,upper_unknown,False,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,q_0.950,5,19,5,,upper_unknown,5,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,ospa30_t6,1,5,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,ospa30_t6,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,q_0.950,1,5,1,,upper_unknown,3,,upper_unknown,False,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,q_0.950,5,1,1,,upper_unknown,1,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,ospa30_t6,1,23,1,,upper_unknown,3,,upper_unknown,False,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,ospa30_t6,5,19,13,,upper_unknown,13,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,q_0.950,1,23,1,3,finite_interval,3,3,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,q_0.950,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,ospa30_t6,1,4,4,,upper_unknown,4,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,q_0.950,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,ospa30_t6,1,5,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,ospa30_t6,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,q_0.950,1,5,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,q_0.950,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,ospa30_t6,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,q_0.950,1,4,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,ospa30_t6,1,19,7,,upper_unknown,7,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,ospa30_t6,5,15,12,,upper_unknown,12,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,q_0.950,1,19,1,,upper_unknown,3,,upper_unknown,False,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,q_0.950,5,15,8,,upper_unknown,8,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,ospa30_t6,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,q_0.950,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,ospa30_t6,1,3,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,q_0.950,1,3,1,,upper_unknown,3,,upper_unknown,False,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,ospa30_t6,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,q_0.950,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,ospa30_t6,1,19,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,ospa30_t6,5,15,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,q_0.950,1,19,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,q_0.950,5,15,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,ospa30_t6,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,q_0.950,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,ospa30_t6,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,q_0.950,1,2,1,2,finite_interval,2,2,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,ospa30_t6,1,3,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,q_0.950,1,3,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,ospa30_t6,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,q_0.950,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,ospa30_t6,1,23,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,ospa30_t6,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,q_0.950,1,23,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,q_0.950,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,ospa30_t6,1,23,21,21,identified,21,21,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,ospa30_t6,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,q_0.950,1,23,9,,upper_unknown,9,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,q_0.950,5,19,15,,upper_unknown,15,,upper_unknown,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,ospa30_t6,1,23,16,16,identified,16,16,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,ospa30_t6,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,q_0.950,1,23,16,16,identified,16,16,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,q_0.950,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,ospa30_t6,1,23,19,19,identified,19,19,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,ospa30_t6,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,q_0.950,1,23,9,9,identified,9,9,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,q_0.950,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,ospa30_t6,1,5,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,ospa30_t6,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,q_0.950,1,5,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,q_0.950,5,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,ospa30_t6,1,4,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,q_0.950,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,ospa30_t6,1,22,1,3,finite_interval,3,3,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,ospa30_t6,5,18,8,8,identified,8,8,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,q_0.950,1,22,1,3,finite_interval,3,3,identified,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,q_0.950,5,18,8,8,identified,8,8,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,ospa30_t6,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,q_0.950,1,4,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,ospa30_t6,1,23,9,22,finite_interval,9,22,finite_interval,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,ospa30_t6,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,q_0.950,1,23,8,23,finite_interval,8,23,finite_interval,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,q_0.950,5,19,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,ospa30_t6,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,q_0.950,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,ospa30_t6,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,q_0.950,1,1,1,,upper_unknown,,,not_reached,True,True,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,ospa30_t6,1,6,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,ospa30_t6,5,2,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,q_0.950,1,6,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,q_0.950,5,2,,,not_reached,,,not_reached,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
without_workers,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,ospa30_t6,1,18,18,18,identified,18,18,identified,False,False,definition_sensitivity_only; at_least_one_supported_cluster_is_required_not_measured
