cohort,pool,metric,outcome,building,max_abs_error,labels_match
all26,all_initializations,ospa60,final_via_edit_labels,b8cTxDM8gDG,4.61852778244e-14,True
all26,all_initializations,ospa60,final_via_edit_labels,e9zR4mvMWw7,7.81597009336e-14,True
all26,all_initializations,ospa60,final_via_edit_labels,q9vSo1VnCiC,1.10134124043e-13,True
all26,all_initializations,ospa60,final_via_edit_labels,rPc6DW4iMge,1.98951966013e-13,True
all26,all_initializations,ospa60,final_via_edit_labels,uNb9QFRL6hY,4.06341627013e-14,True
all26,all_initializations,ospa60,final_via_edit_labels,wc2JMjhGNzB,8.17124146124e-14,True
all26,all_initializations,ospa60,final_via_edit_labels,yqstnuAEVhm,9.59232693276e-14,True
all26,without_synthetic,ospa30,edit,7y3sRwLe3Va,2.84217094304e-14,True
all26,without_synthetic,ospa30,edit,B6ByNegPMKs,1.42108547152e-14,True
all26,without_synthetic,ospa30,edit,UwV83HsGsw3,3.01980662698e-14,True
all26,without_synthetic,ospa30,edit,X7HyMhZNoso,1.68753899743e-14,True
all26,without_synthetic,ospa30,edit,Z6MFQCViBuw,4.61852778244e-14,True
all26,without_synthetic,ospa30,edit,b8cTxDM8gDG,1.42108547152e-14,True
all26,without_synthetic,ospa30,edit,e9zR4mvMWw7,2.84217094304e-14,True
all26,without_synthetic,ospa30,edit,q9vSo1VnCiC,4.79616346638e-14,True
all26,without_synthetic,ospa30,edit,rPc6DW4iMge,8.881784197e-14,True
all26,without_synthetic,ospa30,edit,uNb9QFRL6hY,2.45359288442e-14,True
all26,without_synthetic,ospa30,edit,wc2JMjhGNzB,2.70894418009e-14,True
all26,without_synthetic,ospa30,edit,yqstnuAEVhm,3.01980662698e-14,True
all26,without_synthetic,ospa30,final,7y3sRwLe3Va,2.84217094304e-14,True
all26,without_synthetic,ospa30,final,B6ByNegPMKs,1.42108547152e-14,True
all26,without_synthetic,ospa30,final,UwV83HsGsw3,1.7763568394e-14,True
all26,without_synthetic,ospa30,final,X7HyMhZNoso,1.68753899743e-14,True
all26,without_synthetic,ospa30,final,Z6MFQCViBuw,4.61852778244e-14,True
all26,without_synthetic,ospa30,final,b8cTxDM8gDG,1.42108547152e-14,True
all26,without_synthetic,ospa30,final,e9zR4mvMWw7,2.84217094304e-14,True
all26,without_synthetic,ospa30,final,q9vSo1VnCiC,4.79616346638e-14,True
all26,without_synthetic,ospa30,final,rPc6DW4iMge,8.881784197e-14,True
all26,without_synthetic,ospa30,final,uNb9QFRL6hY,2.45359288442e-14,True
all26,without_synthetic,ospa30,final,wc2JMjhGNzB,2.6645352591e-14,True
all26,without_synthetic,ospa30,final,yqstnuAEVhm,3.01980662698e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,7y3sRwLe3Va,2.84217094304e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,B6ByNegPMKs,1.42108547152e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,UwV83HsGsw3,1.7763568394e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,X7HyMhZNoso,1.68753899743e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,Z6MFQCViBuw,4.61852778244e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,b8cTxDM8gDG,1.42108547152e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,e9zR4mvMWw7,2.84217094304e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,q9vSo1VnCiC,4.79616346638e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,rPc6DW4iMge,8.881784197e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,uNb9QFRL6hY,2.45359288442e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,wc2JMjhGNzB,2.6645352591e-14,True
all26,without_synthetic,ospa30,final_via_edit_labels,yqstnuAEVhm,3.01980662698e-14,True
all26,without_synthetic,ospa60,edit,7y3sRwLe3Va,4.61852778244e-14,True
all26,without_synthetic,ospa60,edit,B6ByNegPMKs,5.3290705182e-14,True
all26,without_synthetic,ospa60,edit,UwV83HsGsw3,2.75335310107e-14,True
all26,without_synthetic,ospa60,edit,X7HyMhZNoso,2.6645352591e-14,True
all26,without_synthetic,ospa60,edit,Z6MFQCViBuw,9.59232693276e-14,True
all26,without_synthetic,ospa60,edit,b8cTxDM8gDG,4.61852778244e-14,True
all26,without_synthetic,ospa60,edit,e9zR4mvMWw7,7.81597009336e-14,True
all26,without_synthetic,ospa60,edit,q9vSo1VnCiC,1.10134124043e-13,True
all26,without_synthetic,ospa60,edit,rPc6DW4iMge,1.98951966013e-13,True
all26,without_synthetic,ospa60,edit,uNb9QFRL6hY,4.06341627013e-14,True
all26,without_synthetic,ospa60,edit,wc2JMjhGNzB,8.17124146124e-14,True
all26,without_synthetic,ospa60,edit,yqstnuAEVhm,9.59232693276e-14,True
all26,without_synthetic,ospa60,final,7y3sRwLe3Va,4.61852778244e-14,True
all26,without_synthetic,ospa60,final,B6ByNegPMKs,3.19744231092e-14,True
all26,without_synthetic,ospa60,final,UwV83HsGsw3,2.75335310107e-14,True
all26,without_synthetic,ospa60,final,X7HyMhZNoso,2.6645352591e-14,True
all26,without_synthetic,ospa60,final,Z6MFQCViBuw,9.59232693276e-14,True
all26,without_synthetic,ospa60,final,b8cTxDM8gDG,4.61852778244e-14,True
all26,without_synthetic,ospa60,final,e9zR4mvMWw7,7.81597009336e-14,True
all26,without_synthetic,ospa60,final,q9vSo1VnCiC,1.10134124043e-13,True
all26,without_synthetic,ospa60,final,rPc6DW4iMge,1.98951966013e-13,True
all26,without_synthetic,ospa60,final,uNb9QFRL6hY,4.06341627013e-14,True
all26,without_synthetic,ospa60,final,wc2JMjhGNzB,8.17124146124e-14,True
all26,without_synthetic,ospa60,final,yqstnuAEVhm,9.59232693276e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,7y3sRwLe3Va,4.61852778244e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,B6ByNegPMKs,3.19744231092e-14,True
all26,without_synthetic,ospa60,final_via_edit_labels,UwV83HsGsw3,2.75335310107e-14,True
