cohort,pool,metric,outcome,worker_id,coarse_agreement,fine_agreement,folds,fine_label_variants
all26,all_initializations,ospa60,final_via_edit_labels,29,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,30,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,31,0.9166666666666666,0.9166666666666666,12,2
all26,all_initializations,ospa60,final_via_edit_labels,32,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,33,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,34,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,35,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,36,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,37,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,6,1.0,1.0,12,1
all26,all_initializations,ospa60,final_via_edit_labels,8,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa30,edit,1,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,10,0.5833333333333334,0.5833333333333334,12,2
all26,without_synthetic,ospa30,edit,11,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,12,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,13,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,14,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,15,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,17,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,18,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,19,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,2,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,21,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,26,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,27,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,28,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,29,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,30,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,31,0.5,0.5,12,2
all26,without_synthetic,ospa30,edit,32,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,33,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,34,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,35,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,36,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,37,1.0,0.5,12,2
all26,without_synthetic,ospa30,edit,6,1.0,1.0,12,1
all26,without_synthetic,ospa30,edit,8,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa30,final,1,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa30,final,10,0.5833333333333334,0.5,12,4
all26,without_synthetic,ospa30,final,11,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,12,1.0,0.5833333333333334,12,2
all26,without_synthetic,ospa30,final,13,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,14,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,15,1.0,0.75,12,2
all26,without_synthetic,ospa30,final,17,1.0,0.75,12,2
all26,without_synthetic,ospa30,final,18,1.0,0.75,12,2
all26,without_synthetic,ospa30,final,19,1.0,0.8333333333333334,12,2
all26,without_synthetic,ospa30,final,2,1.0,0.75,12,2
all26,without_synthetic,ospa30,final,21,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,26,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa30,final,27,1.0,0.6666666666666666,12,2
all26,without_synthetic,ospa30,final,28,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,29,1.0,0.75,12,2
all26,without_synthetic,ospa30,final,30,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa30,final,31,0.5,0.5,12,2
all26,without_synthetic,ospa30,final,32,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,33,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,34,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,35,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,36,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa30,final,37,1.0,1.0,12,1
all26,without_synthetic,ospa30,final,6,1.0,0.5833333333333334,12,2
all26,without_synthetic,ospa30,final,8,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa30,final_via_edit_labels,1,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,10,0.5833333333333334,0.5833333333333334,12,2
all26,without_synthetic,ospa30,final_via_edit_labels,11,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,12,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,13,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,14,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,15,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,17,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,18,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,19,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,2,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,21,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,26,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,27,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,28,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,29,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,30,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,31,0.5,0.5,12,2
all26,without_synthetic,ospa30,final_via_edit_labels,32,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,33,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,34,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,35,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,36,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,37,1.0,0.5,12,2
all26,without_synthetic,ospa30,final_via_edit_labels,6,1.0,1.0,12,1
all26,without_synthetic,ospa30,final_via_edit_labels,8,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa60,edit,1,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,10,0.4166666666666667,0.3333333333333333,12,3
all26,without_synthetic,ospa60,edit,11,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,12,0.4166666666666667,0.4166666666666667,12,3
all26,without_synthetic,ospa60,edit,13,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,14,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,15,1.0,0.75,12,2
all26,without_synthetic,ospa60,edit,17,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,18,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,19,1.0,0.5833333333333334,12,2
all26,without_synthetic,ospa60,edit,2,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,21,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,26,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,27,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,28,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa60,edit,29,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,30,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,31,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa60,edit,32,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,33,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,34,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,35,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,36,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,37,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,6,1.0,1.0,12,1
all26,without_synthetic,ospa60,edit,8,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final,1,1.0,0.5,12,2
all26,without_synthetic,ospa60,final,10,0.4166666666666667,0.4166666666666667,12,3
all26,without_synthetic,ospa60,final,11,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,12,0.4166666666666667,0.08333333333333333,12,4
all26,without_synthetic,ospa60,final,13,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,14,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,15,1.0,0.25,12,2
all26,without_synthetic,ospa60,final,17,1.0,0.25,12,2
all26,without_synthetic,ospa60,final,18,1.0,0.25,12,2
all26,without_synthetic,ospa60,final,19,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,2,1.0,0.25,12,2
all26,without_synthetic,ospa60,final,21,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,26,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final,27,1.0,0.25,12,2
all26,without_synthetic,ospa60,final,28,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,29,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final,30,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,31,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final,32,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,33,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final,34,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,35,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,36,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final,37,1.0,1.0,12,1
all26,without_synthetic,ospa60,final,6,1.0,0.3333333333333333,12,2
all26,without_synthetic,ospa60,final,8,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final_via_edit_labels,1,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,10,0.4166666666666667,0.3333333333333333,12,3
all26,without_synthetic,ospa60,final_via_edit_labels,11,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,12,0.4166666666666667,0.4166666666666667,12,3
all26,without_synthetic,ospa60,final_via_edit_labels,13,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,14,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,15,1.0,0.75,12,2
all26,without_synthetic,ospa60,final_via_edit_labels,17,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,18,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,19,1.0,0.5833333333333334,12,2
all26,without_synthetic,ospa60,final_via_edit_labels,2,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,21,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,26,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,27,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,28,1.0,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final_via_edit_labels,29,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,30,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,31,0.9166666666666666,0.9166666666666666,12,2
all26,without_synthetic,ospa60,final_via_edit_labels,32,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,33,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,34,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,35,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,36,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,37,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,6,1.0,1.0,12,1
all26,without_synthetic,ospa60,final_via_edit_labels,8,0.9166666666666666,0.9166666666666666,12,2
current20,all_initializations,ospa30,edit,1,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,10,0.75,0.75,12,2
current20,all_initializations,ospa30,edit,11,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,12,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,13,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,15,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,17,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,2,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,28,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,29,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,30,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,31,0.8333333333333334,0.8333333333333334,12,2
current20,all_initializations,ospa30,edit,32,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,33,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,34,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,35,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,36,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,37,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,6,1.0,1.0,12,1
current20,all_initializations,ospa30,edit,8,0.9166666666666666,0.9166666666666666,12,2
current20,all_initializations,ospa30,final,1,1.0,1.0,12,1
current20,all_initializations,ospa30,final,10,0.75,0.75,12,3
current20,all_initializations,ospa30,final,11,1.0,1.0,12,1
current20,all_initializations,ospa30,final,12,1.0,0.4166666666666667,12,2
current20,all_initializations,ospa30,final,13,1.0,1.0,12,1
current20,all_initializations,ospa30,final,15,1.0,0.5833333333333334,12,2
current20,all_initializations,ospa30,final,17,1.0,0.5833333333333334,12,2
current20,all_initializations,ospa30,final,2,1.0,0.3333333333333333,12,2
current20,all_initializations,ospa30,final,28,1.0,1.0,12,1
current20,all_initializations,ospa30,final,29,1.0,1.0,12,1
current20,all_initializations,ospa30,final,30,1.0,1.0,12,1
current20,all_initializations,ospa30,final,31,0.8333333333333334,0.8333333333333334,12,2
current20,all_initializations,ospa30,final,32,1.0,1.0,12,1
current20,all_initializations,ospa30,final,33,1.0,1.0,12,1
current20,all_initializations,ospa30,final,34,1.0,1.0,12,1
current20,all_initializations,ospa30,final,35,1.0,1.0,12,1
current20,all_initializations,ospa30,final,36,1.0,1.0,12,1
current20,all_initializations,ospa30,final,37,1.0,1.0,12,1
current20,all_initializations,ospa30,final,6,1.0,1.0,12,1
current20,all_initializations,ospa30,final,8,0.9166666666666666,0.9166666666666666,12,2
current20,all_initializations,ospa30,final_via_edit_labels,1,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,10,0.75,0.75,12,2
current20,all_initializations,ospa30,final_via_edit_labels,11,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,12,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,13,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,15,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,17,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,2,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,28,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,29,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,30,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,31,0.8333333333333334,0.8333333333333334,12,2
current20,all_initializations,ospa30,final_via_edit_labels,32,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,33,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,34,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,35,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,36,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,37,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,6,1.0,1.0,12,1
current20,all_initializations,ospa30,final_via_edit_labels,8,0.9166666666666666,0.9166666666666666,12,2
current20,all_initializations,ospa60,edit,1,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,10,0.5,0.5,12,2
current20,all_initializations,ospa60,edit,11,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,12,0.5,0.5,12,2
current20,all_initializations,ospa60,edit,13,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,15,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,17,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,2,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,28,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,29,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,30,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,31,0.9166666666666666,0.9166666666666666,12,2
current20,all_initializations,ospa60,edit,32,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,33,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,34,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,35,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,36,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,37,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,6,1.0,1.0,12,1
current20,all_initializations,ospa60,edit,8,0.9166666666666666,0.9166666666666666,12,2
current20,all_initializations,ospa60,final,1,1.0,0.4166666666666667,12,2
current20,all_initializations,ospa60,final,10,0.5,0.25,12,6
current20,all_initializations,ospa60,final,11,1.0,0.4166666666666667,12,2
