task_id,annotation_id,annotator_id,dataset_group,default_gate_pass,default_gate_reason,selection_pass,selection_reason,selection_origin,tim_rule_default_gate_pass,tim_rule_in_scope,tim_rule_layout_usable,tim_rule_type4_flag,tim_rule_meta_guard_rejected,tim_rule_active_time_fallback,tim_t_included,tim_i_included,tim_m_included,tim_highest_tier,tim_scope,tim_scope_rule,tim_downgrade_reason,tim_reason_chain,tim_mapping_rule_version,tim_mapping_spec_version
460,88,1,,False,dataset_group_blank;join_status:unmatched,False,default_gate_blocked,blocked_before_selection,False,False,False,False,False,True,False,False,False,outside_T,outside_T,gate_excluded,dataset_group_blank;join_status:unmatched,excluded:dataset_group_blank;join_status:unmatched;selection:default_gate_blocked;active_time:lead_time_fallback;scope:oos,tim_row_audit_v1,tim_mapping_spec_v1
466,89,1,Validation_semi,True,passed,True,selection_not_provided,default_thesis_gate,True,True,True,True,True,True,True,True,True,M,M,m_tier_layout_usable,type4:difficulty_conflict;meta_guard:difficulty_conflict_trivial;active_time:lead_time_fallback,passed_default_gate;selection:selection_not_provided;type4:difficulty_conflict;meta_guard:difficulty_conflict_trivial;active_time:lead_time_fallback,tim_row_audit_v1,tim_mapping_spec_v1
467,90,1,SemiAuto_Test,True,passed,True,selection_not_provided,default_thesis_gate,True,True,True,False,False,True,True,True,True,M,M,m_tier_layout_usable,active_time:lead_time_fallback,passed_default_gate;selection:selection_not_provided;active_time:lead_time_fallback,tim_row_audit_v1,tim_mapping_spec_v1
468,91,1,,False,dataset_group_blank;join_status:unmatched,False,default_gate_blocked,blocked_before_selection,False,True,True,False,False,True,False,False,False,outside_T,outside_T,gate_excluded,dataset_group_blank;join_status:unmatched,excluded:dataset_group_blank;join_status:unmatched;selection:default_gate_blocked;active_time:lead_time_fallback,tim_row_audit_v1,tim_mapping_spec_v1
469,92,1,PreScreen_semi,True,passed,True,selection_not_provided,default_thesis_gate,True,True,True,False,False,True,True,True,True,M,M,m_tier_layout_usable,active_time:lead_time_fallback,passed_default_gate;selection:selection_not_provided;active_time:lead_time_fallback,tim_row_audit_v1,tim_mapping_spec_v1
470,93,1,SemiAuto_Test,True,passed,True,selection_not_provided,default_thesis_gate,True,True,True,False,False,True,True,True,True,M,M,m_tier_layout_usable,active_time:lead_time_fallback,passed_default_gate;selection:selection_not_provided;active_time:lead_time_fallback,tim_row_audit_v1,tim_mapping_spec_v1
471,94,1,,False,dataset_group_blank;join_status:ambiguous,False,default_gate_blocked,blocked_before_selection,False,True,True,True,True,True,False,False,False,outside_T,outside_T,gate_excluded,dataset_group_blank;join_status:ambiguous,excluded:dataset_group_blank;join_status:ambiguous;selection:default_gate_blocked;type4:difficulty_conflict;meta_guard:difficulty_conflict_trivial;active_time:lead_time_fallback,tim_row_audit_v1,tim_mapping_spec_v1
472,95,1,,False,dataset_group_blank;join_status:ambiguous,False,default_gate_blocked,blocked_before_selection,False,True,True,False,False,True,False,False,False,outside_T,outside_T,gate_excluded,dataset_group_blank;join_status:ambiguous,excluded:dataset_group_blank;join_status:ambiguous;selection:default_gate_blocked;active_time:lead_time_fallback,tim_row_audit_v1,tim_mapping_spec_v1
473,96,1,,False,dataset_group_blank;join_status:unmatched,False,default_gate_blocked,blocked_before_selection,False,False,False,False,False,True,False,False,False,outside_T,outside_T,gate_excluded,dataset_group_blank;join_status:unmatched,excluded:dataset_group_blank;join_status:unmatched;selection:default_gate_blocked;active_time:lead_time_fallback;scope:oos,tim_row_audit_v1,tim_mapping_spec_v1
474,40,3,,False,dataset_group_blank;join_status:unmatched,False,default_gate_blocked,blocked_before_selection,False,True,True,False,False,False,False,False,False,outside_T,outside_T,gate_excluded,dataset_group_blank;join_status:unmatched,excluded:dataset_group_blank;join_status:unmatched;selection:default_gate_blocked;active_time:log,tim_row_audit_v1,tim_mapping_spec_v1
