pool,method,tail,profile,source_n,target_n,splits,rooms,buildings,identified_pairs,source_identified,target_identified,identified_buildings,building_equal_MAE,matched_baseline_splits,building_equal_gain,within2,individual_comparable
conditional,complete,2,3,3,2,20,2,2,0,0,2,0,,0,,0,0
conditional,complete,2,3,3,3,20,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,3,4,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,3,5,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,3,6,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,4,2,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,4,3,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,4,4,70,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,4,5,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,4,7,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,5,3,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,5,4,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,5,6,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,6,3,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,6,5,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,3,7,4,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,1,1,52,26,17,4,6,6,2,4.5,0,,2,4
conditional,complete,2,4,1,2,18,6,5,0,4,2,0,,0,,4,4
conditional,complete,2,4,2,1,18,6,5,0,2,4,0,,0,,0,0
conditional,complete,2,4,2,2,24,4,3,0,0,0,0,,0,,0,0
conditional,complete,2,4,2,3,20,2,2,0,6,4,0,,0,,2,7
conditional,complete,2,4,2,4,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,3,2,20,2,2,0,4,6,0,,0,,1,3
conditional,complete,2,4,3,3,20,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,3,4,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,3,5,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,3,6,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,4,2,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,4,3,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,4,4,70,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,4,5,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,4,7,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,5,3,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,5,4,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,5,6,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,6,3,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,6,5,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,4,7,4,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,1,1,52,26,17,4,6,6,2,9.0,0,,2,4
conditional,complete,2,5,1,2,18,6,5,0,4,2,0,,0,,4,4
conditional,complete,2,5,2,1,18,6,5,0,2,4,0,,0,,0,0
conditional,complete,2,5,2,2,24,4,3,0,0,0,0,,0,,0,0
conditional,complete,2,5,2,3,20,2,2,0,2,0,0,,0,,0,0
conditional,complete,2,5,2,4,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,3,2,20,2,2,0,0,2,0,,0,,0,0
conditional,complete,2,5,3,3,20,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,3,4,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,3,5,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,3,6,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,4,2,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,4,3,35,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,4,4,70,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,4,5,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,4,7,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,5,3,56,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,5,4,126,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,5,6,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,6,3,84,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,6,5,462,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,5,7,4,330,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,1,1,52,26,17,4,6,6,2,4.5,0,,2,4
conditional,complete,2,6,1,2,18,6,5,0,4,2,0,,0,,4,4
conditional,complete,2,6,2,1,18,6,5,0,2,4,0,,0,,0,0
conditional,complete,2,6,2,2,24,4,3,0,0,0,0,,0,,0,0
conditional,complete,2,6,2,3,20,2,2,0,6,4,0,,0,,2,7
conditional,complete,2,6,2,4,15,1,1,0,0,0,0,,0,,0,0
conditional,complete,2,6,3,2,20,2,2,0,4,6,0,,0,,1,3
