image_id,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,cluster,people,point_count,medoid_index,within_median,loo_mean_jaccard,loo_conditional_mean_jaccard,loo_pass75,loo_evaluable,medoid_worker,medoid_canonical_id
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.1,5,0,0,0,2,1,8,2,,,,,0,W011,44137bda12cf49a72738
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.1,5,0,0,0,3,1,8,3,,,,,0,W017,fe51149470d295897000
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.1,5,0,0,0,4,1,12,4,,,,,0,W033,19f0ec5e2db5240ffd86
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.125,5,0,0,0,1,2,8,0,0,1,1,1,3,W006,02c17487f3c26175d06c
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.125,5,0,0,0,2,1,8,2,,,,,0,W011,44137bda12cf49a72738
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.125,5,0,0,0,3,1,8,3,,,,,0,W017,fe51149470d295897000
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.125,5,0,0,0,4,1,12,4,,,,,0,W033,19f0ec5e2db5240ffd86
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.15,5,0,0,0,1,2,8,0,0,1,1,1,3,W006,02c17487f3c26175d06c
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.15,5,0,0,0,2,1,8,2,,,,,0,W011,44137bda12cf49a72738
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.15,5,0,0,0,3,1,8,3,,,,,0,W017,fe51149470d295897000
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.15,5,0,0,0,4,1,12,4,,,,,0,W033,19f0ec5e2db5240ffd86
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.2,5,0,0,0,1,2,8,0,0,1,1,1,3,W006,02c17487f3c26175d06c
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.2,5,0,0,0,2,1,8,2,,,,,0,W011,44137bda12cf49a72738
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.2,5,0,0,0,3,1,8,3,,,,,0,W017,fe51149470d295897000
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,0.2,5,0,0,0,4,1,12,4,,,,,0,W033,19f0ec5e2db5240ffd86
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.05,6,0,0,0,4,1,12,0,,,,,0,W012,e7909355f0df5dd9276a
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.05,6,0,0,0,1,1,8,1,,,,,0,W013,ec6c38a862059f07bf7f
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.05,6,0,0,0,6,1,12,2,,,,,0,W027,4d53581ef39bae3bf5d1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.05,6,0,0,0,5,1,12,3,,,,,0,W030,c89be364009b1fc0544e
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.05,6,0,0,0,3,1,8,4,,,,,0,W031,1c3df8c137a169fee41d
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.05,6,0,0,0,2,1,8,5,,,,,0,W035,b02aea4f86afbc5430f7
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.075,6,0,0,0,4,1,12,0,,,,,0,W012,e7909355f0df5dd9276a
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.075,6,0,0,0,1,1,8,1,,,,,0,W013,ec6c38a862059f07bf7f
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.075,6,0,0,0,6,1,12,2,,,,,0,W027,4d53581ef39bae3bf5d1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.075,6,0,0,0,5,1,12,3,,,,,0,W030,c89be364009b1fc0544e
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.075,6,0,0,0,3,1,8,4,,,,,0,W031,1c3df8c137a169fee41d
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.075,6,0,0,0,2,1,8,5,,,,,0,W035,b02aea4f86afbc5430f7
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.1,6,0,0,0,3,1,12,0,,,,,0,W012,e7909355f0df5dd9276a
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.1,6,0,0,0,1,2,8,1,0.0871720435997,1,1,1,4,W013,ec6c38a862059f07bf7f
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,0.1,6,0,0,0,5,1,12,2,,,,,0,W027,4d53581ef39bae3bf5d1
